t,Mass A,x,y,Mass B,x,y
0,,0.05839944,0.1105089,,-1.125982,-0.000391742
0.01666667,,0.05839944,0.1105089,,-1.100748,-0.001022576
0.03333333,,0.05839944,0.1105089,,-1.078038,-0.000391742
0.05,,0.05839944,0.1105089,,-1.055959,0.000869926
0.06666667,,0.05839944,0.1105089,,-1.030726,0.001500759
0.08333333,,0.05839944,0.1105089,,-0.9998147,-0.002284244
0.1,,0.05839944,0.1105089,,-0.9745814,-0.002915078
0.1166667,,0.05839944,0.1105089,,-0.937993,0.000239092
0.1333333,,0.05839944,0.1105089,,-0.9045588,0.000239092
0.15,,0.05839944,0.1105089,,-0.8711246,-0.002284244
0.1666667,,0.05839944,0.1105089,,-0.8351671,-0.00165341
0.1833333,,0.05839944,0.1105089,,-0.7947937,-0.000391742
0.2,,0.05839944,0.1105089,,-0.7575745,-0.00165341
0.2166667,,0.05839944,0.1105089,,-0.721617,-0.000391742
0.2333333,,0.05839944,0.1105089,,-0.6850286,-0.000391742
0.25,,0.05839944,0.1105089,,-0.6616878,-0.000391742
0.2666667,,0.05839944,0.1105089,,-0.6288844,0.000239092
0.2833333,,0.05839944,0.1105089,,-0.5935577,-0.001022576
0.3,,0.05839944,0.1105089,,-0.5594927,-0.001022576
0.3166667,,0.05839944,0.1105089,,-0.5216427,0.000239092
0.3333333,,0.05839944,0.1105089,,-0.4875776,-0.001022576
0.35,,0.05839944,0.1105089,,-0.4591901,-0.00165341
0.3666667,,0.05839944,0.1105089,,-0.4244942,-0.001022576
0.3833333,,0.05839944,0.1105089,,-0.4017842,0.000869926
0.4,,0.05839944,0.1105089,,-0.3670884,-0.000391742
0.4166667,,0.05839944,0.1105089,,-0.3330233,-0.002284244
0.4333333,,0.05839944,0.1105089,,-0.296435,-0.000391742
0.45,,0.05839944,0.1105089,,-0.2636316,-0.00165341
0.4666667,,0.05839944,0.1105089,,-0.2257816,-0.000391742
0.4833333,,0.05839944,0.1105089,,-0.2024407,0.000239092
0.5,,0.05839944,0.1105089,,-0.1664832,-0.000391742
0.5166667,,0.05839944,0.1105089,,-0.1431423,-0.000391742
0.5333333,,0.05839944,0.1105089,,-0.1046615,-0.002915078
0.55,,0.05839944,0.1105089,,-0.09078314,-0.01427009
0.5666667,,0.06396216,0.1160716,,-0.0844748,-0.03382594
0.5833333,,0.07190892,0.1264024,,-0.08321313,-0.05022762
0.6,,0.07667697,0.1359385,,-0.08068979,-0.0666293
0.6166667,,0.08462372,0.1446799,,-0.08005896,-0.08618515
