t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,-0.666,,,,,,0.41,,,,
0.017,,-0.664,0.108,,3.68E-02,2.05E-03,,0.409,-4.79E-02,,4.87E-02,1.18E-03
0.034,,-0.662,0.108,-0.83,3.55E-02,1.91E-03,,0.408,-5.66E-02,-0.367,5.66E-02,1.60E-03
0.051,,-0.661,7.82E-02,1.981,2.60E-02,1.03E-03,,0.407,-6.53E-02,-1.402,6.53E-02,2.13E-03
0.068,,-0.66,0.156,2.974,5.16E-02,4.03E-03,,0.406,-9.59E-02,-1.032,0.1,5.05E-03
0.085,,-0.655,0.215,3.962,7.09E-02,7.63E-03,,0.404,-0.113,-0.439,0.117,6.87E-03
0.102,,-0.652,0.254,2.972,8.38E-02,1.07E-02,,0.402,-0.1,-7.23E-02,0.1,5.01E-03
0.119,,-0.647,0.342,4.461,0.113,1.93E-02,,0.4,-0.118,-0.22,0.12,7.14E-03
0.136,,-0.641,0.391,3.301,0.129,2.53E-02,,0.398,-0.113,0.297,0.113,6.44E-03
0.153,,-0.634,0.459,1.981,0.152,3.48E-02,,0.396,-0.1,-0.219,0.101,5.10E-03
0.17,,-0.625,0.464,2.062,0.153,3.56E-02,,0.395,-0.122,-1.547,0.122,7.44E-03
0.187,,-0.618,0.508,2.15,0.168,4.26E-02,,0.392,-0.155,-0.552,0.155,1.20E-02
0.204,,-0.608,0.562,1.072,0.185,5.21E-02,,0.389,-0.146,-1.285,0.146,1.06E-02
0.221,,-0.599,0.533,-0.741,0.176,4.68E-02,,0.387,-0.181,-1.065,0.181,1.64E-02
0.238,,-0.59,0.533,-0.745,0.176,4.68E-02,,0.383,-0.207,-0.405,0.207,2.15E-02
0.255,,-0.581,0.518,-0.167,0.171,4.43E-02,,0.38,-0.176,0.842,0.176,1.55E-02
0.272,,-0.573,0.513,-0.411,0.169,4.34E-02,,0.377,-0.183,-0.884,0.183,1.67E-02
0.289,,-0.563,0.518,0.331,0.171,4.44E-02,,0.374,-0.205,-1.837,0.205,2.10E-02
0.306,,-0.555,0.513,-8.65E-02,0.169,4.35E-02,,0.37,-0.246,-1.067,0.246,3.02E-02
0.323,,-0.546,0.523,0.243,0.173,4.52E-02,,0.366,-0.248,-1.548,0.248,3.09E-02
0.34,,-0.537,0.518,1.819,0.171,4.43E-02,,0.362,-0.281,-1.214,0.282,3.98E-02
0.357,,-0.529,0.576,0.66,0.19,5.48E-02,,0.356,-0.311,-0.769,0.311,4.85E-02
0.374,,-0.518,0.567,-1.65,0.187,5.30E-02,,0.352,-0.292,-0.219,0.292,4.25E-02
0.391,,-0.509,0.493,-1.732,0.163,4.02E-02,,0.347,-0.32,-1.655,0.32,5.12E-02
0.408,,-0.501,0.513,1.402,0.169,4.34E-02,,0.341,-0.353,-0.59,0.353,6.21E-02
0.425,,-0.492,0.547,1.156,0.181,4.95E-02,,0.335,-0.342,0.992,0.342,5.84E-02
0.442,,-0.483,0.552,-1.071,0.182,5.03E-02,,0.329,-0.313,1.25,0.314,4.93E-02
0.459,,-0.473,0.513,-2.56,0.169,4.34E-02,,0.324,-0.3,0.37,0.3,4.51E-02
0.476,,-0.465,0.459,0.326,0.152,3.49E-02,,0.319,-0.3,-1.397,0.3,4.51E-02
0.493,,-0.458,0.513,1.405,0.169,4.35E-02,,0.314,-0.344,-0.366,0.344,5.92E-02
0.51,,-0.448,0.537,0.663,0.177,4.77E-02,,0.307,-0.331,0.662,0.331,5.48E-02
0.527,,-0.44,0.508,-1.153,0.168,4.26E-02,,0.303,-0.298,0.843,0.298,4.45E-02
0.544,,-0.431,0.513,-1.073,0.169,4.34E-02,,0.297,-0.316,-0.701,0.316,4.98E-02
0.561,,-0.422,0.469,-0.661,0.155,3.63E-02,,0.292,-0.318,0.368,0.318,5.05E-02
0.578,,-0.415,0.479,0.848,0.158,3.78E-02,,0.287,-0.307,0.333,0.307,4.71E-02
0.595,,-0.406,0.514,1.249,0.17,4.36E-02,,0.282,-0.3,-1.028,0.3,4.51E-02
0.612,,-0.398,0.514,-1.13E-02,0.17,4.36E-02,,0.276,-0.342,-1.36,0.342,5.84E-02
0.629,,-0.389,0.516,-0.148,0.17,4.39E-02,,0.27,-0.357,0.368,0.357,6.38E-02
0.646,,-0.38,0.508,-0.825,0.168,4.26E-02,,0.264,-0.322,2.353,0.322,5.20E-02
0.664,,-0.372,0.489,-0.578,0.161,3.94E-02,,0.259,-0.279,0.953,0.279,3.88E-02
0.681,,-0.364,0.484,0.58,0.16,3.86E-02,,0.255,-0.281,-1.361,0.281,3.95E-02
0.698,,-0.355,0.511,0.373,0.169,4.31E-02,,0.25,-0.333,-1.433,0.333,5.55E-02
0.715,,-0.346,0.503,-8.18E-02,0.166,4.19E-02,,0.244,-0.335,0.442,0.335,5.62E-02
0.732,,-0.338,0.496,-0.952,0.164,4.07E-02,,0.238,-0.309,1.764,0.309,4.78E-02
0.749,,-0.33,0.484,-8.50E-02,0.16,3.86E-02,,0.233,-0.281,0.33,0.281,3.94E-02
0.766,,-0.322,0.479,0.577,0.158,3.78E-02,,0.229,-0.287,-0.956,0.287,4.13E-02
0.783,,-0.313,0.513,0.91,0.169,4.34E-02,,0.223,-0.324,-0.772,0.324,5.26E-02
0.8,,-0.305,0.511,0.29,0.169,4.31E-02,,0.218,-0.313,-0.734,0.313,4.91E-02
0.817,,-0.296,0.515,-0.701,0.17,4.39E-02,,0.213,-0.337,0.11,0.337,5.69E-02
0.834,,-0.287,0.498,-1.322,0.164,4.10E-02,,0.206,-0.331,0.587,0.331,5.47E-02
0.851,,-0.279,0.459,-0.248,0.152,3.48E-02,,0.202,-0.296,1.028,0.296,4.38E-02
0.868,,-0.272,0.489,1.732,0.161,3.94E-02,,0.196,-0.307,-0.625,0.307,4.71E-02
0.885,,-0.263,0.528,0.99,0.174,4.59E-02,,0.191,-0.313,-0.881,0.314,4.92E-02
0.902,,-0.254,0.52,-1.363,0.172,4.47E-02,,0.186,-0.337,-0.478,0.337,5.69E-02
0.919,,-0.245,0.481,-1.197,0.159,3.82E-02,,0.18,-0.335,1.619,0.335,5.62E-02
0.936,,-0.237,0.472,-0.206,0.156,3.67E-02,,0.175,-0.281,1.287,0.281,3.94E-02
0.953,,-0.229,0.484,-0.165,0.16,3.86E-02,,0.17,-0.279,-0.294,0.279,3.88E-02
0.97,,-0.221,0.464,8.24E-02,0.153,3.55E-02,,0.165,-0.307,-1.067,0.307,4.71E-02
0.987,,-0.213,0.479,0.494,0.158,3.78E-02,,0.16,-0.307,-0.917,0.307,4.71E-02
1.004,,-0.205,0.493,0.331,0.163,4.02E-02,,0.155,-0.337,-0.624,0.337,5.69E-02
1.021,,-0.197,0.481,-0.29,0.159,3.82E-02,,0.149,-0.337,1.137,0.337,5.69E-02
1.038,,-0.189,0.486,-0.29,0.16,3.90E-02,,0.143,-0.292,1.616,0.292,4.27E-02
1.055,,-0.18,0.474,-0.743,0.156,3.71E-02,,0.139,-0.279,-0.807,0.279,3.88E-02
1.072,,-0.173,0.457,4.52E-02,0.151,3.45E-02,,0.134,-0.32,-1.876,0.32,5.12E-02
1.089,,-0.165,0.474,0.493,0.157,3.71E-02,,0.128,-0.351,0.991,0.351,6.15E-02
1.106,,-0.157,0.481,3.90E-02,0.159,3.82E-02,,0.122,-0.289,1.656,0.29,4.20E-02
1.123,,-0.149,0.469,-0.411,0.155,3.63E-02,,0.118,-0.272,-1.138,0.272,3.70E-02
1.14,,-0.141,0.469,8.98E-02,0.155,3.63E-02,,0.113,-0.344,-1.029,0.344,5.91E-02
1.157,,-0.133,0.472,0.453,0.156,3.69E-02,,0.107,-0.318,0.882,0.318,5.05E-02
1.174,,-0.125,0.484,-0.664,0.16,3.86E-02,,0.102,-0.289,1.064,0.289,4.19E-02
1.191,,-0.116,0.457,-0.541,0.151,3.44E-02,,9.67E-02,-0.3,-0.59,0.301,4.52E-02
1.208,,-0.109,0.449,-0.493,0.148,3.34E-02,,9.19E-02,-0.298,0.848,0.299,4.47E-02
1.225,,-0.101,0.457,-0.122,0.151,3.44E-02,,8.66E-02,-0.283,-0.294,0.283,4.00E-02
1.242,,-9.39E-02,0.435,-2.146,0.144,3.12E-02,,8.24E-02,-0.292,2.427,0.292,4.26E-02
1.259,,-8.65E-02,0.393,-6.979,0.13,2.55E-02,,7.68E-02,-0.231,7.43,0.231,2.68E-02
1.276,,-8.06E-02,0.208,-13.75,6.85E-02,7.12E-03,,7.46E-02,-2.17E-02,12.58,2.22E-02,2.46E-04
1.293,,-7.95E-02,-8.55E-02,-13.41,2.83E-02,1.21E-03,,7.60E-02,0.196,11.33,0.196,1.92E-02
1.31,,-8.35E-02,-0.264,-6.602,8.72E-02,1.15E-02,,8.12E-02,0.368,7.17,0.368,6.77E-02
1.327,,-8.84E-02,-0.296,-0.538,9.76E-02,1.44E-02,,8.85E-02,0.44,1.837,0.44,9.67E-02
1.344,,-9.35E-02,-0.281,0.286,9.27E-02,1.30E-02,,9.61E-02,0.427,0.586,0.427,9.10E-02
1.361,,-9.79E-02,-0.279,-0.91,9.20E-02,1.28E-02,,0.103,0.446,0.112,0.446,9.95E-02
1.378,,-0.103,-0.315,-0.536,0.104,1.64E-02,,0.111,0.451,0.698,0.451,0.102
1.395,,-0.109,-0.305,0.29,0.101,1.54E-02,,0.118,0.448,-0.517,0.448,0.101
1.412,,-0.113,-0.291,-4.01E-02,9.60E-02,1.40E-02,,0.126,0.453,0.441,0.453,0.103
1.429,,-0.118,-0.315,-0.289,0.104,1.64E-02,,0.133,0.446,-1.211,0.446,9.95E-02
1.446,,-0.124,-0.303,-8.27E-02,1.00E-01,1.51E-02,,0.141,0.429,0.11,0.429,9.19E-02
1.463,,-0.129,-0.308,0.496,0.102,1.56E-02,,0.148,0.429,-0.183,0.429,9.19E-02
1.48,,-0.134,-0.3,0.124,9.92E-02,1.49E-02,,0.156,0.444,1.986,0.444,9.86E-02
1.497,,-0.139,-0.288,-8.81E-04,9.51E-02,1.37E-02,,0.163,0.474,-0.147,0.475,0.113
1.514,,-0.144,-0.31,-0.206,0.102,1.59E-02,,0.172,0.468,-0.48,0.468,0.109
1.531,,-0.149,-0.296,0.455,9.76E-02,1.44E-02,,0.179,0.429,-1.581,0.429,9.20E-02
1.548,,-0.154,-0.288,-8.40E-02,9.52E-02,1.37E-02,,0.186,0.433,0.185,0.433,9.38E-02
1.565,,-0.159,-0.303,-0.329,1.00E-01,1.52E-02,,0.193,0.424,-0.476,0.424,9.01E-02
1.582,,-0.164,-0.3,0.125,9.92E-02,1.49E-02,,0.201,0.424,0.917,0.425,9.01E-02
1.599,,-0.169,-0.296,0.124,9.76E-02,1.44E-02,,0.208,0.446,0.989,0.446,9.95E-02
1.616,,-0.174,-0.298,-8.29E-02,9.83E-02,1.47E-02,,0.216,0.47,1.246,0.471,0.111
1.633,,-0.179,-0.298,8.81E-04,9.84E-02,1.47E-02,,0.224,0.479,-0.806,0.48,0.115
1.65,,-0.184,-0.298,0.245,9.84E-02,1.47E-02,,0.232,0.455,-0.768,0.455,0.103
1.667,,-0.189,-0.291,0.204,9.60E-02,1.40E-02,,0.239,0.435,-0.219,0.435,9.48E-02
1.684,,-0.194,-0.288,0.247,9.52E-02,1.37E-02,,0.247,0.459,-0.186,0.459,0.105
1.701,,-0.199,-0.286,-0.289,9.44E-02,1.35E-02,,0.255,0.431,-1.397,0.431,9.29E-02
1.718,,-0.204,-0.293,0.168,9.69E-02,1.42E-02,,0.261,0.403,0.262,0.403,8.10E-02
1.735,,-0.209,-0.288,3.17E-03,9.52E-02,1.37E-02,,0.268,0.44,0.811,0.441,9.71E-02
1.752,,-0.214,-0.283,2.99E-03,9.37E-02,1.33E-02,,0.276,0.444,-0.371,0.445,9.88E-02
1.769,,-0.219,-0.295,-0.785,9.78E-02,1.45E-02,,0.283,0.413,-0.591,0.414,8.55E-02
1.786,,-0.224,-0.305,-0.131,0.101,1.55E-02,,0.29,0.427,0.223,0.427,9.10E-02
1.803,,-0.229,-0.305,0.53,0.102,1.56E-02,,0.298,0.427,0.294,0.427,9.11E-02
1.82,,-0.234,-0.284,0.912,9.44E-02,1.35E-02,,0.305,0.429,3.38E-02,0.429,9.19E-02
1.837,,-0.239,-0.274,0.336,9.03E-02,1.24E-02,,0.312,0.435,0.22,0.435,9.48E-02
1.854,,-0.243,-0.274,8.03E-02,9.03E-02,1.24E-02,,0.319,0.431,-0.217,0.431,9.29E-02
1.871,,-0.248,-0.271,-0.375,8.96E-02,1.22E-02,,0.327,0.431,-0.221,0.431,9.31E-02
1.888,,-0.252,-0.283,-0.413,9.38E-02,1.33E-02,,0.334,0.422,-0.297,0.422,8.91E-02
1.905,,-0.257,-0.291,-0.947,9.60E-02,1.40E-02,,0.341,0.42,3.33E-02,0.42,8.83E-02
1.922,,-0.262,-0.308,-8.13E-02,0.102,1.56E-02,,0.348,0.424,-0.915,0.425,9.01E-02
1.939,,-0.268,-0.305,0.537,0.101,1.54E-02,,0.355,0.394,0.628,0.394,7.76E-02
