t,Mass a,x,vx,ax,p,K,Mass b,x,vx,ax,p,K
0,,-0.55,0,0,0,0,,0.08115,0,0,0,0
0.016,,-0.55,0,0,0,0,,0.08115,0,0,0,0
0.033,,-0.55,0,0,0,0,,0.08115,0,0,0,0
0.05,,-0.55,0,0.948,0,0,,0.08115,0,0,0,0
0.067,,-0.55,0.02768,3.318,0.01882,0.0002605,,0.08115,0,0,0,0
0.084,,-0.549,0.111,2.847,0.07543,0.004184,,0.08115,0,0,0,0
0.1,,-0.546,0.138,0.716,0.0941,0.006511,,0.08115,0,0,0,0
0.117,,-0.545,0.118,0.425,0.08051,0.004766,,0.08115,0,0,0,0
0.134,,-0.542,0.154,3.68,0.106,0.008255,,0.08115,0,0,0,0
0.151,,-0.539,0.24,3.455,0.166,0.0202,,0.08115,0,0,0,0
0.168,,-0.534,0.283,2.455,0.193,0.02739,,0.08115,0,0,0,0
0.185,,-0.53,0.305,1.2,0.207,0.03165,,0.08115,0,0,0,0
0.201,,-0.524,0.336,3.366,0.228,0.03827,,0.08115,0,0,0,0
0.218,,-0.519,0.401,1.791,0.273,0.05472,,0.08115,0,0,0,0
0.235,,-0.511,0.423,0.224,0.288,0.06079,,0.08115,0,0,0,0
0.252,,-0.505,0.384,-0.746,0.261,0.05002,,0.08115,0,0,0,0
0.269,,-0.498,0.405,0.669,0.276,0.05596,,0.08115,0,0,0,0
0.285,,-0.491,0.409,0.443,0.279,0.05704,,0.08115,0,0,0,0
0.302,,-0.484,0.414,-0.223,0.282,0.05831,,0.08115,0,0,0,0
0.319,,-0.477,0.41,0.602,0.279,0.05709,,0.08115,0,0,0,0
0.336,,-0.471,0.423,-0.819,0.287,0.06078,,0.08115,0,0,0,0
0.353,,-0.463,0.401,0.149,0.273,0.05472,,0.08115,0,0,0,0
0.369,,-0.457,0.401,-0.304,0.273,0.05466,,0.08115,0,0,0,0
0.386,,-0.45,0.418,0.895,0.285,0.05958,,0.08115,0,0,0,0
0.403,,-0.443,0.41,-0.446,0.279,0.05707,,0.08115,0,0,0,0
0.42,,-0.436,0.418,0.894,0.285,0.05953,,0.08115,0,0,0,0
0.437,,-0.43,0.427,-1.049,0.291,0.06209,,0.08115,0,0,0,0
0.454,,-0.422,0.401,-0.742,0.273,0.05464,,0.08115,0,0,0,0
0.47,,-0.416,0.379,0.07538,0.258,0.04889,,0.08115,0,0,0,0
0.487,,-0.409,0.418,-0.454,0.285,0.05952,,0.08115,0,0,0,0
0.504,,-0.402,0.37,-1.123,0.252,0.04677,,0.08115,0,0,0,0
0.521,,-0.397,0.357,0.904,0.243,0.04349,,0.08115,0,0,0,0
0.538,,-0.39,0.418,1.652,0.285,0.05954,,0.08115,0,0,0,0
0.554,,-0.383,0.414,-1.863,0.282,0.05845,,0.08115,0,0,0,0
0.571,,-0.376,0.353,-0.832,0.241,0.04254,,0.08115,0,0,0,0
0.588,,-0.371,0.37,2.308,0.252,0.04669,,0.08115,0,0,0,0
0.605,,-0.364,0.449,0.224,0.305,0.06862,,0.08115,0,0,0,0
0.622,,-0.356,0.388,-1.711,0.264,0.05113,,0.08115,0,0,0,0
0.638,,-0.351,0.357,-0.3,0.243,0.04343,,0.08115,0,0,0,0
0.655,,-0.344,0.405,2.017,0.276,0.05586,,0.08115,0,0,0,0
0.672,,-0.338,0.414,-0.527,0.282,0.05829,,0.08115,0,0,0,0
0.689,,-0.331,0.396,-0.523,0.27,0.05354,,0.08115,0,0,0,0
0.706,,-0.324,0.383,-1.485,0.261,0.05001,,0.08115,0,0,0,0
0.722,,-0.318,0.362,-0.364,0.246,0.04465,,0.08115,0,0,0,0
0.739,,-0.312,0.353,0.223,0.241,0.04261,,0.08115,0,0,0,0
0.756,,-0.306,0.384,1.342,0.261,0.05007,,0.08115,0,0,0,0
