t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,-0.07987,,,,,,0.443,,,,
0.017,,-0.07987,0,,0,0,,0.443,0,,0,0
0.034,,-0.07987,0,0,0,0,,0.443,0,-0.832,0,0
0.051,,-0.07987,0,0,0,0,,0.443,-0.02462,-0.693,0.008124,0.0001
0.068,,-0.07987,0,0,0,0,,0.442,-0.03282,-0.277,0.01083,0.0001778
0.085,,-0.07987,0,0,0,0,,0.442,-0.02462,-0.693,0.008124,0.0001
0.102,,-0.07987,0,0,0,0,,0.441,-0.05744,-1.676,0.01896,0.0005445
0.119,,-0.07987,0,0,0,0,,0.44,-0.08655,-0.907,0.02903,0.001277
0.136,,-0.07987,0,0,0,0,,0.438,-0.08654,-1.311,0.02902,0.001276
0.153,,-0.07987,0,0,0,0,,0.437,-0.123,-1.929,0.04062,0.002499
0.17,,-0.07987,0,0,0,0,,0.434,-0.164,-2.772,0.05415,0.004443
0.187,,-0.07987,0,0,0,0,,0.431,-0.205,-2.772,0.06769,0.006943
0.204,,-0.07987,0,0,0,0,,0.427,-0.267,-3.821,0.088,0.01173
0.221,,-0.07987,0,0,0,0,,0.422,-0.328,-3.345,0.108,0.01782
0.238,,-0.07987,0,0,0,0,,0.416,-0.386,-3.327,0.128,0.02482
0.255,,-0.07987,0,0,0,0,,0.409,-0.435,-2.902,0.144,0.03127
0.272,,-0.07987,0,0,0,0,,0.401,-0.488,-2.281,0.161,0.03936
0.289,,-0.07987,0,0,0,0,,0.393,-0.513,-0.49,0.169,0.04346
0.306,,-0.07987,0,0,0,0,,0.384,-0.505,0.498,0.167,0.04204
0.323,,-0.07987,0,0,0,0,,0.376,-0.492,0.837,0.162,0.03999
0.34,,-0.07987,0,0,0,0,,0.367,-0.48,-0.07606,0.158,0.03803
0.357,,-0.07987,0,0,0,0,,0.36,-0.488,0.05353,0.161,0.03937
0.373,,-0.07987,0,0,0,0,,0.351,-0.489,-0.485,0.161,0.03943
0.39,,-0.07987,0,0,0,0,,0.343,-0.493,-0.543,0.163,0.04003
0.407,,-0.07987,0,0,0,0,,0.334,-0.517,-0.136,0.171,0.04412
0.424,,-0.07987,0,0,0,0,,0.326,-0.497,1.454,0.164,0.0407
0.441,,-0.07987,0,0,0,0,,0.317,-0.464,-0.486,0.153,0.03549
0.458,,-0.07987,0,0,0,0,,0.31,-0.505,-0.893,0.167,0.04202
0.475,,-0.07987,0,0,0,0,,0.3,-0.517,0.275,0.171,0.04409
0.492,,-0.07987,0,0,0,0,,0.292,-0.476,0.969,0.157,0.03737
0.509,,-0.07987,0,0,0,0,,0.284,-0.488,-0.212,0.161,0.03934
0.526,,-0.07987,0,0,0,0,,0.276,-0.488,-0.351,0.161,0.03934
0.543,,-0.07987,0,0,0,0,,0.268,-0.493,0.144,0.163,0.04006
0.56,,-0.07987,0,0,0,0,,0.259,-0.492,0.009018,0.163,0.04002
0.577,,-0.07987,0,0,0,0,,0.251,-0.484,-0.561,0.16,0.0387
0.594,,-0.07987,0,0,0,0,,0.243,-0.513,-0.07496,0.169,0.04346
0.611,,-0.07987,0,0,0,0,,0.234,-0.496,0.351,0.164,0.04067
0.628,,-0.07987,0,0,0,0,,0.226,-0.484,0.284,0.16,0.03867
0.645,,-0.07987,0,0,0,0,,0.217,-0.501,-0.144,0.165,0.04134
0.662,,-0.07987,0,0,0,0,,0.209,-0.484,-0.144,0.16,0.03867
