t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,-0.514,,,,,,0.527,,,,
0.017,,-0.514,2.15E-02,,1.39E-02,1.50E-04,,0.52,-0.469,,0.477,0.114
0.034,,-0.514,5.37E-02,1.997,3.48E-02,9.36E-04,,0.511,-0.456,9.66E-03,0.46,0.106
0.051,,-0.513,8.60E-02,1.33,5.57E-02,2.40E-03,,0.505,-0.44,0.995,0.44,9.68E-02
0.068,,-0.511,0.104,0.39,6.75E-02,3.52E-03,,0.496,-0.447,-0.696,0.447,0.1
0.085,,-0.509,9.57E-02,0.367,6.21E-02,2.98E-03,,0.489,-0.444,-0.39,0.444,9.85E-02
0.101,,-0.507,0.112,1.831,7.60E-02,4.45E-03,,0.481,-0.474,-1.023,0.474,0.112
0.118,,-0.505,0.16,4.207,0.105,8.56E-03,,0.473,-0.474,0.664,0.474,0.112
0.135,,-0.502,0.25,4.926,0.162,2.03E-02,,0.465,-0.454,0.343,0.455,0.103
0.152,,-0.497,0.338,4.477,0.219,3.70E-02,,0.458,-0.454,0.947,0.454,0.103
0.169,,-0.491,0.395,3.2,0.256,5.06E-02,,0.45,-0.436,0.652,0.437,9.53E-02
0.186,,-0.483,0.449,2.494,0.291,6.54E-02,,0.443,-0.416,-0.99,0.417,8.68E-02
0.203,,-0.475,0.479,1.19,0.311,7.45E-02,,0.436,-0.474,-0.788,0.474,0.112
0.22,,-0.467,0.489,0.523,0.317,7.75E-02,,0.427,-0.459,-9.98E-02,0.46,0.106
0.237,,-0.459,0.495,0.905,0.321,7.94E-02,,0.42,-0.449,0.913,0.449,0.101
0.254,,-0.45,0.519,-0.42,0.336,8.71E-02,,0.412,-0.455,-0.77,0.455,0.104
0.271,,-0.441,0.491,-0.257,0.318,7.82E-02,,0.405,-0.452,0.507,0.452,0.102
0.287,,-0.434,0.488,0.72,0.316,7.73E-02,,0.397,-0.458,-0.704,0.458,0.105
0.304,,-0.425,0.534,0.856,0.346,9.23E-02,,0.39,-0.458,-0.102,0.458,0.105
0.321,,-0.416,0.515,-0.875,0.334,8.61E-02,,0.381,-0.476,5.71E-02,0.476,0.113
0.338,,-0.407,0.497,-0.755,0.322,8.02E-02,,0.373,-0.45,4.58E-02,0.453,0.102
0.355,,-0.399,0.495,0.326,0.321,7.93E-02,,0.366,-0.468,1.092,0.468,0.11
0.372,,-0.391,0.504,0.36,0.327,8.23E-02,,0.358,-0.434,0.117,0.434,9.42E-02
0.389,,-0.382,0.513,0.813,0.332,8.52E-02,,0.351,-0.431,-0.769,0.432,9.32E-02
0.406,,-0.373,0.525,0.499,0.34,8.93E-02,,0.343,-0.488,-1.303,0.488,0.119
0.423,,-0.364,0.537,-0.415,0.348,9.33E-02,,0.335,-0.467,0.953,0.467,0.109
0.44,,-0.355,0.509,-1.168,0.33,8.41E-02,,0.327,-0.453,0.4,0.453,0.102
0.457,,-0.347,0.492,-0.856,0.319,7.84E-02,,0.32,-0.455,-0.755,0.455,0.104
0.473,,-0.339,0.486,0.351,0.315,7.64E-02,,0.312,-0.476,0.115,0.476,0.113
0.49,,-0.331,0.498,1.059,0.322,8.02E-02,,0.304,-0.461,1.361,0.461,0.106
0.507,,-0.322,0.528,0.552,0.342,9.02E-02,,0.296,-0.419,0.966,0.419,8.79E-02
0.524,,-0.313,0.518,-1.823,0.336,8.71E-02,,0.289,-0.428,-1.33,0.428,9.17E-02
0.541,,-0.304,0.464,-0.802,0.301,6.99E-02,,0.282,-0.467,-1.103,0.468,0.109
0.558,,-0.297,0.477,1.222,0.309,7.37E-02,,0.274,-0.471,0.708,0.471,0.111
0.575,,-0.288,0.525,0.695,0.34,8.92E-02,,0.266,-0.438,0.524,0.438,9.59E-02
0.592,,-0.279,0.497,-0.154,0.322,8.01E-02,,0.259,-0.448,-0.703,0.448,0.1
0.609,,-0.271,0.506,-0.204,0.328,8.31E-02,,0.251,-0.472,0.691,0.472,0.111
