t,Mass a,x,vx,ax,p,K,Mass b,x,vx,ax,p,K
0,,-0.599,,,,,,0.425,,,,
0.017,,-0.599,0,,0,0,,0.425,0,,0,0
0.034,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.051,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.068,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.085,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.102,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.119,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.136,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.153,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.17,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.187,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.204,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.22,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.237,,-0.599,0,0,0,0,,0.425,0,0,0,0
0.254,,-0.599,0,0.161,0,0,,0.425,0,0,0,0
0.271,,-0.599,0.004752,1.343,0.03518,0.000619,,0.425,0,0,0,0
0.288,,-0.599,0.04214,1.341,0.05511,0.001519,,0.425,0,0,0,0
0.305,,-0.598,0.06077,0.869,0.06078,0.001847,,0.425,0,0,0,0
0.322,,-0.597,0.06085,0.87,0.06096,0.001858,,0.425,0,0,0,0
0.339,,-0.596,0.09354,1.578,0.09359,0.00438,,0.425,0,0,0,0
0.356,,-0.594,0.117,1.181,0.117,0.006826,,0.425,0,0,0,0
0.373,,-0.592,0.131,0.953,0.131,0.008562,,0.425,0,0,0,0
0.39,,-0.589,0.15,0.161,0.15,0.01123,,0.425,0,0,0,0
0.407,,-0.587,0.14,-0.637,0.141,0.009873,,0.425,0,0,0,0
0.424,,-0.585,0.121,0.306,0.122,0.007394,,0.425,0,0,0,0
0.441,,-0.583,0.149,0.948,0.15,0.01123,,0.425,0,0,0,0
0.458,,-0.58,0.164,0.557,0.164,0.0134,,0.425,0,0,0,0
0.475,,-0.577,0.159,1.424,0.159,0.01263,,0.425,0,-0.158,0,0
0.492,,-0.574,0.21,3.068,0.21,0.02212,,0.425,-0.004673,-0.868,0.004674,0.00001092
0.509,,-0.57,0.271,3.166,0.272,0.03691,,0.425,-0.02804,-1.737,0.02804,0.0003932
0.526,,-0.565,0.313,3.402,0.313,0.04904,,0.424,-0.06542,-1.421,0.06543,0.002141
0.543,,-0.559,0.383,2.844,0.383,0.07353,,0.423,-0.07944,-0.08174,0.07945,0.003156
0.56,,-0.552,0.42,1.723,0.421,0.08851,,0.421,-0.0655,0.314,0.0656,0.002152
0.577,,-0.545,0.43,1.586,0.43,0.09245,,0.42,-0.0655,-0.63,0.0656,0.002152
0.594,,-0.538,0.477,2.211,0.477,0.114,,0.419,-0.08881,-1.816,0.08883,0.003945
0.611,,-0.529,0.51,0.07898,0.51,0.13,,0.417,-0.126,-3.242,0.126,0.007978
0.628,,-0.52,0.481,-0.865,0.481,0.116,,0.415,-0.196,-2.372,0.197,0.01931
0.645,,-0.513,0.467,0.634,0.467,0.109,,0.411,-0.22,-2.292,0.22,0.02417
0.661,,-0.505,0.509,0.546,0.509,0.13,,0.407,-0.253,-1.896,0.253,0.03195
0.678,,-0.496,0.495,-0.798,0.495,0.123,,0.402,-0.304,-2.116,0.304,0.04624
0.695,,-0.488,0.467,0.321,0.467,0.109,,0.397,-0.313,-1.338,0.313,0.04912
0.712,,-0.48,0.509,0.874,0.509,0.13,,0.392,-0.35,-1.665,0.351,0.06144
0.729,,-0.471,0.509,-0.391,0.509,0.13,,0.385,-0.374,-1.428,0.374,0.07
0.746,,-0.463,0.481,0.236,0.481,0.116,,0.379,-0.393,0.327,0.393,0.07706
0.763,,-0.454,0.519,0.399,0.519,0.135,,0.372,-0.374,-0.001396,0.374,0.06995
0.78,,-0.445,0.51,-0.243,0.51,0.13,,0.366,-0.374,-0.321,0.374,0.06994
0.797,,-0.437,0.491,-1.343,0.491,0.12,,0.359,-0.402,-1.743,0.402,0.08082
0.814,,-0.428,0.481,0.398,0.481,0.116,,0.353,-0.421,0.95,0.421,0.08851
