t,Mass A,x,y,Mass B,x,y
0,,0.848,1.032,,-1.236,0.0003628
0.017,,0.846,1.02,,-1.226,0.0003628
0.033,,0.838,1.006,,-1.218,0.0003628
0.05,,0.832,0.998,,-1.208,0.0003628
0.067,,0.829,0.989,,-1.199,0.0003628
0.083,,0.825,0.979,,-1.188,0.0003628
0.1,,0.822,0.968,,-1.18,0.0003628
0.117,,0.818,0.957,,-1.165,0.0003628
0.133,,0.813,0.947,,-1.153,0.0003628
0.15,,0.81,0.939,,-1.142,0.0003628
0.167,,0.805,0.931,,-1.132,0.0003628
0.183,,0.799,0.92,,-1.12,0.0003628
0.2,,0.788,0.901,,-1.106,0.0003628
0.217,,0.783,0.891,,-1.091,0.0003628
0.233,,0.777,0.882,,-1.079,0.0003628
0.25,,0.771,0.87,,-1.071,0.0003628
0.267,,0.764,0.859,,-1.064,0.0003628
0.283,,0.755,0.847,,-1.035,0.0003628
0.3,,0.749,0.837,,-1.012,0.0003628
0.317,,0.741,0.826,,-0.994,0.0003628
0.333,,0.735,0.813,,-0.975,0.0003628
0.35,,0.727,0.803,,-0.961,0.0003628
0.367,,0.717,0.785,,-0.946,0.0003628
0.383,,0.709,0.77,,-0.926,0.0003628
0.4,,0.696,0.755,,-0.91,0.0003628
0.417,,0.676,0.733,,-0.892,0.0003628
0.433,,0.664,0.712,,-0.872,0.0003628
0.45,,0.656,0.699,,-0.848,0.0003628
0.467,,0.65,0.687,,-0.831,0.0003628
0.483,,0.636,0.67,,-0.812,0.0003628
0.5,,0.621,0.652,,-0.791,0.0003628
0.517,,0.609,0.635,,-0.771,0.0003628
0.533,,0.595,0.614,,-0.753,0.0003628
0.55,,0.584,0.603,,-0.735,0.0003628
0.567,,0.57,0.593,,-0.71,0.0003628
0.583,,0.557,0.58,,-0.698,0.0003628
0.6,,0.545,0.562,,-0.687,0.0003628
0.617,,0.539,0.55,,-0.662,0.0003628
0.633,,0.532,0.538,,-0.644,0.0003628
0.65,,0.519,0.521,,-0.617,0.0003628
0.667,,0.493,0.493,,-0.596,0.0003628
0.683,,0.471,0.468,,-0.586,0.0003628
0.7,,0.454,0.451,,-0.573,0.0003628
0.717,,0.435,0.434,,-0.548,0.0003628
0.733,,0.413,0.418,,-0.532,0.0003628
0.75,,0.401,0.398,,-0.512,0.0003628
