t,Mass A,x,vx,ax,p,K,Mass B,x,vx,ax,p,K
0,,-0.488,,,,,,0.601,,,,
0.017,,-0.488,0,,0,0,,0.601,-1.82E-02,,1.89E-02,1.78E-04
0.034,,-0.488,0,0,0,0,,0.6,-2.72E-02,-0.531,2.89E-02,4.18E-04
0.051,,-0.488,0,0,0,0,,0.6,-3.61E-02,-1.222,4.31E-02,9.30E-04
0.068,,-0.488,0,0,0,0,,0.599,-6.56E-02,-1.812,7.27E-02,2.64E-03
0.085,,-0.488,0,0.778,0,0,,0.598,-0.102,-1.434,0.106,5.67E-03
0.101,,-0.488,2.30E-02,4.869,2.30E-02,2.65E-04,,0.596,-0.114,-1.089,0.116,6.74E-03
0.118,,-0.488,0.156,7.894,0.156,1.21E-02,,0.594,-0.134,-2.827,0.136,9.22E-03
0.135,,-0.483,0.311,6.239,0.312,4.86E-02,,0.591,-0.208,-3.824,0.208,2.17E-02
0.152,,-0.477,0.363,4.189,0.364,6.62E-02,,0.587,-0.274,-4.407,0.275,3.78E-02
0.169,,-0.471,0.438,5.256,0.438,9.61E-02,,0.582,-0.345,-5.838,0.345,5.96E-02
0.186,,-0.462,0.553,4.074,0.553,0.153,,0.575,-0.475,-6.514,0.475,0.113
0.203,,-0.452,0.582,-0.302,0.582,0.169,,0.566,-0.574,-4.236,0.574,0.165
0.22,,-0.443,0.536,-0.486,0.536,0.143,,0.556,-0.614,-2.638,0.615,0.189
0.237,,-0.434,0.553,0.986,0.553,0.153,,0.545,-0.659,-2.832,0.66,0.218
0.254,,-0.424,0.588,-0.772,0.588,0.173,,0.533,-0.713,-1.671,0.713,0.254
0.271,,-0.414,0.525,-1.845,0.525,0.138,,0.521,-0.72,-0.953,0.72,0.259
0.287,,-0.406,0.507,0.377,0.508,0.129,,0.509,-0.734,0.275,0.734,0.269
0.304,,-0.397,0.553,1.17,0.553,0.153,,0.496,-0.727,0.537,0.727,0.264
0.321,,-0.388,0.547,-0.865,0.547,0.15,,0.485,-0.699,1.464,0.7,0.245
0.338,,-0.379,0.519,0.393,0.52,0.135,,0.473,-0.688,-0.118,0.688,0.237
0.355,,-0.37,0.553,1.356,0.553,0.153,,0.461,-0.692,-1.346,0.693,0.24
0.372,,-0.36,0.582,0.283,0.582,0.169,,0.449,-0.74,-0.551,0.741,0.274
0.389,,-0.35,0.553,-0.787,0.553,0.153,,0.436,-0.72,1.359,0.72,0.259
0.406,,-0.341,0.553,-0.389,0.553,0.153,,0.425,-0.679,-0.343,0.679,0.231
0.423,,-0.332,0.548,-0.286,0.548,0.15,,0.413,-0.731,-0.534,0.732,0.268
0.44,,-0.323,0.536,9.31E-02,0.536,0.144,,0.4,-0.72,0.186,0.72,0.259
0.457,,-0.313,0.553,0.391,0.553,0.153,,0.389,-0.695,-0.792,0.695,0.242
0.473,,-0.304,0.553,-1.161,0.553,0.153,,0.377,-0.762,-1.675,0.762,0.29
0.49,,-0.295,0.513,-0.48,0.513,0.132,,0.363,-0.759,-0.145,0.759,0.288
0.507,,-0.287,0.525,0.871,0.525,0.138,,0.351,-0.75,0.548,0.75,0.281
0.524,,-0.277,0.559,9.10E-02,0.559,0.156,,0.338,-0.755,0.997,0.755,0.285
0.541,,-0.268,0.524,-0.104,0.524,0.137,,0.325,-0.711,1.515,0.711,0.253
0.558,,-0.259,0.542,4.21E-03,0.542,0.147,,0.314,-0.697,-0.111,0.697,0.243
0.575,,-0.249,0.548,-0.3,0.548,0.15,,0.302,-0.72,-0.345,0.72,0.259
0.592,,-0.241,0.513,-0.673,0.513,0.131,,0.289,-0.713,0.619,0.713,0.255
0.609,,-0.232,0.53,1.174,0.53,0.141,,0.278,-0.692,0.343,0.693,0.24
0.626,,-0.223,0.553,0.199,0.553,0.153,,0.266,-0.702,-0.361,0.702,0.246
0.643,,-0.213,0.542,-0.398,0.542,0.147,,0.254,-0.709,6.72E-02,0.709,0.251
0.659,,-0.205,0.53,-0.967,0.53,0.141,,0.242,-0.698,-0.265,0.698,0.243
0.676,,-0.195,0.519,0.586,0.519,0.135,,0.23,-0.713,-0.226,0.713,0.254
0.693,,-0.187,0.536,0.279,0.536,0.144,,0.218,-0.715,-0.348,0.716,0.256
0.71,,-0.177,0.547,9.31E-02,0.547,0.15,,0.206,-0.713,0.373,0.713,0.255
0.727,,-0.168,0.524,-0.861,0.524,0.137,,0.194,-0.714,-0.464,0.714,0.255
0.744,,-0.16,0.525,0.681,0.525,0.138,,0.182,-0.718,2.51E-03,0.718,0.258
0.761,,-0.151,0.541,0.362,0.541,0.147,,0.169,-0.725,-0.113,0.725,0.263
0.778,,-0.141,0.547,-0.874,0.547,0.15,,0.157,-0.713,0.693,0.713,0.255
0.795,,-0.132,0.507,-0.559,0.507,0.129,,0.145,-0.707,-3.03E-02,0.707,0.25
0.812,,-0.124,0.519,0.785,0.519,0.135,,0.134,-0.709,-0.934,0.709,0.251
0.829,,-0.115,0.547,0.861,0.547,0.15,,0.121,-0.741,-0.388,0.741,0.275
0.845,,-0.106,0.541,-0.599,0.541,0.147,,0.109,-0.73,0.354,0.73,0.266
0.862,,-9.64E-02,0.53,-1.166,0.53,0.141,,9.67E-02,-0.716,2.452,0.716,0.256
0.879,,-8.76E-02,0.501,-9.24,0.501,0.126,,8.43E-02,-0.665,11.17,0.665,0.221
0.896,,-7.94E-02,0.248,-12.75,0.248,3.07E-02,,7.42E-02,-0.352,15.38,0.352,6.20E-02
0.913,,-7.92E-02,5.76E-03,-9.052,5.76E-03,1.66E-05,,7.24E-02,-8.68E-02,9.339,8.70E-02,3.78E-03
0.93,,-7.92E-02,-2.29E-02,-1.555,2.38E-02,2.82E-04,,7.13E-02,-6.63E-02,-0.899,6.63E-02,2.20E-03
0.947,,-8.00E-02,-5.17E-02,-2.637,5.22E-02,1.36E-03,,7.02E-02,-0.112,-1.275,0.113,6.34E-03
0.964,,-8.10E-02,-0.104,-2.343,0.104,5.44E-03,,6.75E-02,-0.128,0.543,0.128,8.22E-03
0.981,,-8.35E-02,-0.144,-0.69,0.144,1.04E-02,,6.59E-02,-8.00E-02,1.352,8.00E-02,3.20E-03
0.998,,-8.59E-02,-0.121,1.732,0.124,7.65E-03,,6.48E-02,-8.02E-02,-0.502,8.05E-02,3.24E-03
1.015,,-8.76E-02,-8.46E-02,0.922,8.78E-02,3.85E-03,,6.31E-02,-0.103,-0.342,0.103,5.30E-03
1.032,,-8.87E-02,-8.41E-02,-0.308,8.41E-02,3.54E-03,,6.13E-02,-9.37E-02,0.426,9.38E-02,4.40E-03
1.048,,-9.05E-02,-0.103,-0.652,0.104,5.36E-03,,6.00E-02,-8.23E-02,-0.159,8.23E-02,3.39E-03
1.065,,-9.22E-02,-0.103,0.328,0.104,5.37E-03,,5.85E-02,-0.101,-0.616,0.101,5.07E-03
1.082,,-9.40E-02,-9.37E-02,0.705,9.38E-02,4.40E-03,,5.66E-02,-0.107,0.351,0.107,5.77E-03
1.099,,-9.54E-02,-7.76E-02,0.439,7.76E-02,3.01E-03,,5.49E-02,-8.68E-02,0.234,8.69E-02,3.78E-03
1.116,,-9.66E-02,-7.75E-02,-0.54,7.77E-02,3.02E-03,,5.36E-02,-9.37E-02,-3.95E-02,9.38E-02,4.40E-03
1.133,,-9.80E-02,-9.68E-02,-0.22,9.75E-02,4.75E-03,,5.17E-02,-9.82E-02,-0.466,9.83E-02,4.83E-03
1.15,,-9.99E-02,-9.04E-02,-0.113,9.06E-02,4.10E-03,,5.03E-02,-9.95E-02,7.32E-02,9.96E-02,4.96E-03
1.167,,-0.101,-9.05E-02,-0.658,9.05E-02,4.10E-03,,4.83E-02,-0.105,0.148,0.105,5.48E-03
1.184,,-0.103,-0.12,-0.493,0.12,7.16E-03,,4.68E-02,-8.91E-02,-0.109,8.92E-02,3.98E-03
1.201,,-0.105,-0.11,0.87,0.11,6.05E-03,,4.53E-02,-0.106,-0.113,0.106,5.63E-03
