t,Mass A,x,y,Mass B,x,y
0,,-1.498,0,,0.09656,-0.003551
0.017,,-1.495,0,,0.09656,-0.003551
0.033,,-1.488,0,,0.09656,-0.003551
0.05,,-1.486,0,,0.09656,-0.003551
0.067,,-1.478,0,,0.09656,-0.003551
0.083,,-1.473,0,,0.09656,-0.003551
0.1,,-1.465,0,,0.09656,-0.003551
0.117,,-1.461,0,,0.09656,-0.003551
0.133,,-1.451,0,,0.09656,-0.003551
0.15,,-1.443,0,,0.09656,-0.003551
0.167,,-1.438,0,,0.09656,-0.003551
0.183,,-1.427,0,,0.09656,-0.003551
0.2,,-1.415,0,,0.09656,-0.003551
0.217,,-1.4,0,,0.09656,-0.003551
0.233,,-1.389,0,,0.09656,-0.003551
0.25,,-1.372,0,,0.09656,-0.003551
0.267,,-1.356,0,,0.09656,-0.003551
0.283,,-1.339,0,,0.09656,-0.003551
0.3,,-1.318,0,,0.09656,-0.003551
0.317,,-1.284,0,,0.09656,-0.003551
0.333,,-1.26,0,,0.09656,-0.003551
0.35,,-1.235,0,,0.09656,-0.003551
0.367,,-1.219,0,,0.09656,-0.003551
0.383,,-1.197,0,,0.09656,-0.003551
0.4,,-1.162,0,,0.09656,-0.003551
0.417,,-1.129,0,,0.09656,-0.003551
0.433,,-1.106,0,,0.09656,-0.003551
0.45,,-1.076,0,,0.09656,-0.003551
0.467,,-1.041,0,,0.09656,-0.003551
0.483,,-1.014,0,,0.09656,-0.003551
0.5,,-0.982,0,,0.09656,-0.003551
0.517,,-0.946,0,,0.09656,-0.003551
0.533,,-0.915,0,,0.09656,-0.003551
0.55,,-0.879,0,,0.09656,-0.003551
0.567,,-0.826,0,,0.09656,-0.003551
0.583,,-0.784,0,,0.09656,-0.003551
0.6,,-0.762,0,,0.09656,-0.003551
0.617,,-0.727,0,,0.09656,-0.003551
0.633,,-0.697,0,,0.09656,-0.003551
0.65,,-0.662,0,,0.09656,-0.003551
0.667,,-0.604,0,,0.09656,-0.003551
0.683,,-0.567,0,,0.09656,-0.003551
0.7,,-0.527,0,,0.09656,-0.003551
0.717,,-0.493,0,,0.09656,-0.003551
0.733,,-0.46,0,,0.09656,-0.003551
0.75,,-0.418,0,,0.09656,-0.003551
0.767,,-0.378,0,,0.09656,-0.003551
0.783,,-0.342,0,,0.09656,-0.003551
0.8,,-0.302,0,,0.09656,-0.003551
0.817,,-0.274,0,,0.09656,-0.003551
0.833,,-0.226,0,,0.09656,-0.003551
0.85,,-0.191,0,,0.09656,-0.003551
0.867,,-0.152,0,,0.09656,-0.003551
0.883,,-0.127,0,,0.09656,-0.003551
0.9,,-0.08583,0.00009976,,0.121,-0.03587
0.917,,-0.06873,0.00009976,,0.162,-0.04587
0.933,,-0.03942,0.00009976,,0.21,-0.05741
0.95,,-0.01133,0.01842,,0.261,-0.06433
0.967,,0.004551,0.03308,,0.305,-0.07126
0.983,,0.02654,0.03918,,0.354,-0.07588
1,,0.04852,0.04407,,0.404,-0.09203
1.017,,0.0644,0.04407,,0.447,-0.104
1.033,,0.09371,0.04651,,0.504,-0.116
1.05,,0.11,0.04896,,0.556,-0.124
1.067,,0.133,0.05262,,0.609,-0.135
1.083,,0.162,0.05628,,0.661,-0.146
1.1,,0.183,0.06117,,0.71,-0.156
1.117,,0.206,0.06605,,0.771,-0.169
1.133,,0.223,0.06972,,0.817,-0.176
1.15,,0.263,0.07705,,0.867,-0.187
1.167,,0.292,0.08193,,0.919,-0.199
1.183,,0.305,0.08315,,0.978,-0.214
1.2,,0.323,0.08682,,1.03,-0.22
1.217,,0.353,0.09048,,1.068,-0.234
1.233,,0.365,0.09293,,1.131,-0.242
1.25,,0.389,0.09903,,1.188,-0.258
1.267,,0.406,0.104,,1.235,-0.271
1.283,,0.432,0.114,,1.283,-0.281
1.3,,0.461,0.12,,1.345,-0.287
1.317,,0.483,0.128,,1.404,-0.297
1.333,,0.509,0.136,,1.451,-0.306
1.35,,0.519,0.139,,1.506,-0.314
1.367,,0.54,0.144,,1.565,-0.327
1.383,,0.552,0.148,,1.621,-0.336
1.4,,0.574,0.154,,1.675,-0.342
1.417,,0.583,0.158,,1.728,-0.356
1.433,,0.596,0.161,,1.769,-0.364
1.45,,0.614,0.166,,1.819,-0.377
1.467,,0.64,0.171,,1.885,-0.394
1.483,,0.663,0.176,,1.935,-0.403
1.5,,0.682,0.181,,1.955,-0.409
1.517,,0.711,0.188,,1.98,-0.412
1.533,,0.728,0.192,,1.992,-0.415
1.55,,0.75,0.197,,2.008,-0.424
1.567,,0.778,0.198,,2.023,-0.437
1.583,,0.809,0.202,,2.039,-0.449
1.6,,0.824,0.207,,2.039,-0.455
1.617,,0.839,0.211,,2.023,-0.461
1.633,,0.861,0.218,,2.008,-0.474
1.65,,0.872,0.221,,1.995,-0.477
1.667,,0.884,0.225,,1.983,-0.477
1.683,,0.897,0.227,,1.968,-0.477
1.7,,0.929,0.237,,1.959,-0.477
1.717,,0.955,0.243,,1.952,-0.477
1.733,,0.973,0.247,,1.94,-0.477
1.75,,0.998,0.252,,1.919,-0.48
1.767,,1.012,0.257,,1.903,-0.48
1.783,,1.028,0.26,,1.875,-0.48
1.8,,1.043,0.263,,1.848,-0.48
1.817,,1.061,0.268,,1.811,-0.48
1.833,,1.072,0.271,,1.786,-0.48
1.85,,1.09,0.276,,1.765,-0.48
1.867,,1.105,0.28,,1.737,-0.48
1.883,,1.121,0.282,,1.709,-0.483
1.9,,1.143,0.285,,1.688,-0.489
1.917,,1.166,0.288,,1.666,-0.489
1.933,,1.177,0.292,,1.642,-0.492
1.95,,1.193,0.297,,1.614,-0.495
1.967,,1.208,0.296,,1.592,-0.495
1.983,,1.234,0.302,,1.565,-0.495
2,,1.252,0.307,,1.534,-0.501
2.017,,1.274,0.312,,1.509,-0.507
2.033,,1.305,0.316,,1.491,-0.514
2.05,,1.319,0.318,,1.46,-0.517
2.067,,1.341,0.323,,1.426,-0.52
2.083,,1.357,0.323,,1.405,-0.523
2.1,,1.374,0.325,,1.374,-0.526
2.117,,1.385,0.326,,1.359,-0.529
2.133,,1.425,0.33,,1.34,-0.535
2.15,,1.431,0.331,,1.306,-0.538
2.167,,1.458,0.337,,1.272,-0.547
2.183,,1.49,0.345,,1.254,-0.547
2.2,,1.507,0.346,,1.217,-0.547
2.217,,1.525,0.346,,1.192,-0.557
2.233,,1.548,0.349,,1.168,-0.557
2.25,,1.558,0.352,,1.149,-0.557
2.267,,1.568,0.354,,1.112,-0.56
2.283,,1.576,0.356,,1.085,-0.563
2.3,,1.586,0.357,,1.063,-0.566
2.317,,1.596,0.357,,1.048,-0.572
2.333,,1.609,0.357,,1.002,-0.572
2.35,,1.623,0.36,,0.98,-0.578
2.367,,1.647,0.365,,0.952,-0.584
2.383,,1.658,0.369,,0.937,-0.587
2.4,,1.679,0.375,,0.912,-0.59
2.417,,1.7,0.38,,0.891,-0.59
2.433,,1.714,0.385,,0.851,-0.594
2.45,,1.744,0.391,,0.82,-0.6
2.467,,1.765,0.397,,0.805,-0.603
2.483,,1.782,0.399,,0.786,-0.603
2.5,,1.796,0.403,,0.765,-0.609
2.517,,1.812,0.408,,0.737,-0.612
2.533,,1.833,0.412,,0.704,-0.614
2.55,,1.849,0.415,,0.674,-0.62
2.567,,1.865,0.418,,0.642,-0.621
2.583,,1.883,0.421,,0.614,-0.627
2.6,,1.892,0.423,,0.592,-0.627
2.617,,1.914,0.426,,0.574,-0.627
2.633,,1.929,0.43,,0.549,-0.634
2.65,,1.944,0.432,,0.525,-0.637
