Fecha Local,Date,Hour,Temperature
2026-02-22 00:00:00,02/22/26,0:00,11.9
2026-02-22 00:10:00,02/22/26,0:10,11.7
2026-02-22 00:20:00,02/22/26,0:20,11.4
2026-02-22 00:30:00,02/22/26,0:30,11.5
2026-02-22 00:40:00,02/22/26,0:40,11.5
2026-02-22 00:50:00,02/22/26,0:50,11.3
2026-02-22 01:00:00,02/22/26,1:00,11.4
2026-02-22 01:10:00,02/22/26,1:10,11.5
2026-02-22 01:20:00,02/22/26,1:20,11.1
2026-02-22 01:30:00,02/22/26,1:30,10.6
2026-02-22 01:40:00,02/22/26,1:40,10.6
2026-02-22 01:50:00,02/22/26,1:50,10.3
2026-02-22 02:00:00,02/22/26,2:00,9.7
2026-02-22 02:10:00,02/22/26,2:10,9.1
2026-02-22 02:20:00,02/22/26,2:20,8.7
2026-02-22 02:30:00,02/22/26,2:30,8.3
2026-02-22 02:40:00,02/22/26,2:40,7.9
2026-02-22 02:50:00,02/22/26,2:50,7.6
2026-02-22 03:00:00,02/22/26,3:00,7.2
2026-02-22 03:10:00,02/22/26,3:10,7.2
2026-02-22 03:20:00,02/22/26,3:20,8.1
2026-02-22 03:30:00,02/22/26,3:30,9
2026-02-22 03:40:00,02/22/26,3:40,9.5
2026-02-22 03:50:00,02/22/26,3:50,10.1
2026-02-22 04:00:00,02/22/26,4:00,10.4
2026-02-22 04:10:00,02/22/26,4:10,10.2
2026-02-22 04:20:00,02/22/26,4:20,10
2026-02-22 04:30:00,02/22/26,4:30,10
2026-02-22 04:40:00,02/22/26,4:40,9.9
2026-02-22 04:50:00,02/22/26,4:50,9.8
2026-02-22 05:00:00,02/22/26,5:00,9.7
2026-02-22 05:10:00,02/22/26,5:10,9.7
2026-02-22 05:20:00,02/22/26,5:20,9.7
2026-02-22 05:30:00,02/22/26,5:30,9.7
2026-02-22 05:40:00,02/22/26,5:40,9.5
2026-02-22 05:50:00,02/22/26,5:50,8.7
2026-02-22 06:00:00,02/22/26,6:00,8.4
2026-02-22 06:10:00,02/22/26,6:10,8.7
2026-02-22 06:20:00,02/22/26,6:20,9
2026-02-22 06:30:00,02/22/26,6:30,9.2
2026-02-22 06:40:00,02/22/26,6:40,9.5
2026-02-22 06:50:00,02/22/26,6:50,9.5
2026-02-22 07:00:00,02/22/26,7:00,9.6
2026-02-22 07:10:00,02/22/26,7:10,9.8
2026-02-22 07:20:00,02/22/26,7:20,10
2026-02-22 07:30:00,02/22/26,7:30,10
2026-02-22 07:40:00,02/22/26,7:40,10.2
2026-02-22 07:50:00,02/22/26,7:50,10.6
2026-02-22 08:00:00,02/22/26,8:00,10.8
2026-02-22 08:10:00,02/22/26,8:10,11.1
2026-02-22 08:20:00,02/22/26,8:20,11.3
2026-02-22 08:30:00,02/22/26,8:30,11.5
2026-02-22 08:40:00,02/22/26,8:40,11.4
2026-02-22 08:50:00,02/22/26,8:50,11.5
2026-02-22 09:00:00,02/22/26,9:00,11.4
