t,y,vy,ay
0.000,-3.723,,
0.021,,,
0.043,,,
0.064,,,
0.085,,,
0.107,,,
0.128,,,
0.150,,,
0.171,,,
0.192,,,
0.214,,,
0.235,,,
0.256,,,
0.278,,,
0.299,,,
0.320,,,
0.342,,,
0.363,,,
0.384,,,
0.406,,,
0.427,,,
0.449,,,
0.470,,,
0.491,,,
0.513,,,
0.534,,,
0.555,,,
0.577,,,
0.598,,,
0.619,,,
0.641,,,
0.662,,,
0.683,,,
0.705,,,
0.726,,,
0.748,,,
0.769,,,
0.790,,,
0.812,,,
0.833,,,
0.854,-3.723,-6.529E-2,
0.876,,,
0.897,,,
0.918,,,
0.940,,,
0.961,,,
0.982,,,
1.004,,,
1.025,,,
1.047,,,
1.068,,,
1.089,,,
1.111,,,
1.132,,,
1.153,,,
1.175,,,
1.196,,,
1.217,,,
1.239,,,
1.260,,,
1.281,,,
1.303,,,
1.324,,,
1.346,,,
1.367,,,
1.388,,,
1.410,,,
1.431,,,
1.452,,,
1.474,,,
1.495,,,
1.516,,,
1.538,,,
1.559,,,
1.580,,,
1.602,,,
1.623,,,
1.645,,,
1.666,,,
1.687,,,
1.709,-3.837,-0.131,2.366E-4
1.730,,,
1.751,,,
1.773,,,
1.794,,,
1.815,,,
1.837,,,
1.858,,,
1.879,,,
1.901,,,
1.922,,,
1.944,,,
1.965,,,
1.986,,,
2.008,,,
2.029,,,
2.050,,,
2.072,,,
2.093,,,
2.114,,,
2.136,,,
2.157,,,
2.178,,,
2.200,,,
2.221,,,
2.243,,,
2.264,,,
2.285,,,
2.307,,,
2.328,,,
2.349,,,
2.371,,,
2.392,,,
2.413,,,
2.435,,,
2.456,,,
2.477,,,
2.499,,,
2.520,,,
2.542,,,
2.563,-3.949,-6.507E-2,2.148E-2
2.584,,,
2.606,,,
2.627,,,
2.648,,,
2.670,,,
2.691,,,
2.712,,,
2.734,,,
2.755,,,
2.776,,,
2.798,,,
2.819,,,
2.841,,,
2.862,,,
2.883,,,
2.905,,,
2.926,,,
2.947,,,
2.969,,,
2.990,,,
3.011,,,
3.033,,,
3.054,,,
3.075,,,
3.097,,,
3.118,,,
3.140,,,
3.161,,,
3.182,,,
3.204,,,
3.225,,,
3.246,,,
3.268,,,
3.289,,,
3.310,,,
3.332,,,
3.353,,,
3.374,,,
3.396,,,
3.417,-3.949,-6.356E-2,2.047E-2
3.439,,,
3.460,,,
3.481,,,
3.503,,,
3.524,,,
3.545,,,
3.567,,,
3.588,,,
3.609,,,
3.631,,,
3.652,,,
3.673,,,
3.695,,,
3.716,,,
3.738,,,
3.759,,,
3.780,,,
3.802,,,
3.823,,,
3.844,,,
3.866,,,
3.887,,,
3.908,,,
3.930,,,
3.951,,,
3.972,,,
3.994,,,
4.015,,,
4.037,,,
4.058,,,
4.079,,,
4.101,,,
4.122,,,
4.143,,,
4.165,,,
4.186,,,
4.207,,,
4.229,,,
4.250,,,
4.271,-4.062,-6.213E-2,-1.995E-2
4.293,,,
4.314,,,
4.336,,,
4.357,,,
4.378,,,
4.400,,,
4.421,,,
4.442,,,
4.464,,,
4.485,,,
4.506,,,
4.528,,,
4.549,,,
4.570,,,
4.592,,,
4.613,,,
4.635,,,
4.656,,,
4.677,,,
4.699,,,
4.720,,,
4.741,,,
4.763,,,
4.784,,,
4.805,,,
4.827,,,
4.848,,,
4.869,,,
4.891,,,
4.912,,,
4.934,,,
4.955,,,
4.976,,,
4.998,,,
5.019,,,
5.040,,,
5.062,,,
5.083,,,
5.104,,,
5.126,-4.062,-6.196E-2,-2.062E-2
5.147,,,
5.168,,,
5.190,,,
5.211,,,
5.233,,,
5.254,,,
5.275,,,
5.297,,,
5.318,,,
5.339,,,
5.361,,,
5.382,,,
5.403,,,
5.425,,,
5.446,,,
5.467,,,
5.489,,,
5.510,,,
5.532,,,
5.553,,,
5.574,,,
5.596,,,
5.617,,,
5.638,,,
5.660,,,
5.681,,,
5.702,,,
5.724,,,
5.745,,,
5.766,,,
5.788,,,
5.809,,,
5.831,,,
5.852,,,
5.873,,,
5.895,,,
5.916,,,
5.937,,,
5.959,,,
5.980,-4.175,-0.131,0.000
6.001,,,
6.023,,,
6.044,,,
6.065,,,
6.087,,,
6.108,,,
6.130,,,
6.151,,,
6.172,,,
6.194,,,
6.215,,,
6.236,,,
6.258,,,
6.279,,,
6.300,,,
6.322,,,
6.343,,,
6.364,,,
6.386,,,
6.407,,,
6.429,,,
6.450,,,
6.471,,,
6.493,,,
6.514,,,
6.535,,,
6.557,,,
6.578,,,
6.599,,,
6.621,,,
6.642,,,
6.663,,,
6.685,,,
6.706,,,
6.728,,,
6.749,,,
6.770,,,
6.792,,,
6.813,,,
6.834,-4.288,-6.853E-2,6.771E-2
6.856,,,
6.877,,,
6.898,,,
6.920,,,
6.941,,,
6.962,,,
6.984,,,
7.005,,,
7.027,,,
7.048,,,
7.069,,,
7.091,,,
7.112,,,
7.133,,,
7.155,,,
7.176,,,
7.197,,,
7.219,,,
7.240,,,
7.261,,,
7.283,,,
7.304,,,
7.326,,,
7.347,,,
7.368,,,
7.390,,,
7.411,,,
7.432,,,
7.454,,,
7.475,,,
