t,y,vy,ay,Unnamed: 4
0.0,-2.866,,,
0.017,,,,
0.033,,,,
0.05,,,,
0.067,,,,
0.083,,,,
0.1,,,,
0.117,,,,
0.133,,,,
0.15,,,,
0.167,,,,
0.183,,,,
0.2,,,,
0.217,,,,
0.233,,,,
0.25,,,,
0.267,,,,
0.283,,,,
0.3,,,,
0.317,,,,
0.333,,,,
0.35,,,,
0.367,,,,
0.383,,,,
0.4,,,,
0.417,,,,
0.433,,,,
0.45,,,,
0.467,,,,
0.483,,,,
0.5,,,,
0.517,,,,
0.533,,,,
0.55,,,,
0.567,,,,
0.583,,,,
0.6,,,,
0.617,,,,
0.633,,,,
0.65,,,,
0.667,-2.925,-0.103,,
0.683,,,,
0.7,,,,
0.717,,,,
0.733,,,,
0.75,,,,
0.767,,,,
0.783,,,,
0.8,,,,
0.817,,,,
0.833,,,,
0.85,,,,
0.867,,,,
0.883,,,,
0.9,,,,
0.917,,,,
0.933,,,,
0.95,,,,
0.967,,,,
0.983,,,,
1.0,,,,
1.017,,,,
1.033,,,,
1.05,,,,
1.067,,,,
1.083,,,,
1.1,,,,
1.117,,,,
1.133,,,,
1.15,,,,
1.167,,,,
1.183,,,,
1.2,,,,
1.217,,,,
1.233,,,,
1.25,,,,
1.267,,,,
1.283,,,,
1.3,,,,
1.317,,,,
1.333,-3.003,-0.133,-0.08203,
1.35,,,,
1.367,,,,
1.383,,,,
1.4,,,,
1.417,,,,
1.433,,,,
1.45,,,,
1.467,,,,
1.483,,,,
1.5,,,,
1.517,,,,
1.533,,,,
1.55,,,,
1.567,,,,
1.583,,,,
1.6,,,,
1.617,,,,
1.633,,,,
1.65,,,,
1.667,,,,
1.683,,,,
1.7,,,,
1.717,,,,
1.733,,,,
1.75,,,,
1.767,,,,
1.783,,,,
1.8,,,,
1.817,,,,
1.833,,,,
1.85,,,,
1.867,,,,
1.883,,,,
1.9,,,,
1.917,,,,
1.933,,,,
1.95,,,,
1.967,,,,
1.983,,,,
2.0,-3.102,-0.206,-0.02524,
2.017,,,,
2.033,,,,
2.05,,,,
2.067,,,,
2.083,,,,
2.1,,,,
2.117,,,,
2.133,,,,
2.15,,,,
2.167,,,,
2.183,,,,
2.2,,,,
2.217,,,,
2.233,,,,
2.25,,,,
2.267,,,,
2.283,,,,
2.3,,,,
2.317,,,,
2.333,,,,
2.35,,,,
2.367,,,,
2.383,,,,
2.4,,,,
2.417,,,,
2.433,,,,
2.45,,,,
2.467,,,,
2.483,,,,
2.5,,,,
2.517,,,,
2.533,,,,
2.55,,,,
2.567,,,,
2.583,,,,
2.6,,,,
2.617,,,,
2.633,,,,
2.65,,,,
2.667,-3.278,-0.191,0.01893,
2.683,,,,
2.7,,,,
2.717,,,,
2.733,,,,
2.75,,,,
2.767,,,,
2.783,,,,
2.8,,,,
2.817,,,,
2.833,,,,
2.85,,,,
2.867,,,,
2.883,,,,
2.9,,,,
2.917,,,,
2.933,,,,
2.95,,,,
2.967,,,,
2.983,,,,
3.0,,,,
3.017,,,,
3.033,,,,
3.05,,,,
3.067,,,,
3.083,,,,
3.1,,,,
3.117,,,,
3.133,,,,
3.15,,,,
3.167,,,,
3.183,,,,
3.2,,,,
3.217,,,,
3.233,,,,
3.25,,,,
3.267,,,,
3.283,,,,
3.3,,,,
3.317,,,,
3.333,-3.357,-0.147,0.0,
3.35,,,,
3.367,,,,
3.383,,,,
3.4,,,,
3.417,,,,
3.433,,,,
3.45,,,,
3.467,,,,
3.483,,,,
3.5,,,,
3.517,,,,
3.533,,,,
3.55,,,,
3.567,,,,
3.583,,,,
3.6,,,,
3.617,,,,
3.633,,,,
3.65,,,,
3.667,,,,
3.683,,,,
3.7,,,,
3.717,,,,
3.733,,,,
3.75,,,,
3.767,,,,
3.783,,,,
3.8,,,,
3.817,,,,
3.833,,,,
3.85,,,,
3.867,,,,
3.883,,,,
3.9,,,,
3.917,,,,
3.933,,,,
3.95,,,,
3.967,,,,
3.983,,,,
4.0,-3.475,-0.206,0.01262,
4.017,,,,
4.033,,,,
4.05,,,,
4.067,,,,
4.083,,,,
4.1,,,,
4.117,,,,
4.133,,,,
4.15,,,,
4.167,,,,
4.183,,,,
4.2,,,,
4.217,,,,
4.233,,,,
4.25,,,,
4.267,,,,
4.283,,,,
4.3,,,,
4.317,,,,
4.333,,,,
4.35,,,,
4.367,,,,
4.383,,,,
4.4,,,,
4.417,,,,
4.433,,,,
4.45,,,,
4.467,,,,
4.483,,,,
4.5,,,,
4.517,,,,
4.533,,,,
4.55,,,,
4.567,,,,
4.583,,,,
4.6,,,,
4.617,,,,
4.633,,,,
4.65,,,,
4.667,-3.632,-0.147,0.0631,
4.683,,,,
4.7,,,,
4.717,,,,
4.733,,,,
4.75,,,,
4.767,,,,
4.783,,,,
4.8,,,,
4.817,,,,
4.833,,,,
4.85,,,,
4.867,,,,
4.883,,,,
4.9,,,,
4.917,,,,
4.933,,,,
4.95,,,,
4.967,,,,
4.983,,,,
5.0,,,,
5.017,,,,
5.033,,,,
5.05,,,,
5.067,,,,
5.083,,,,
5.1,,,,
5.117,,,,
5.133,,,,
5.15,,,,
5.167,,,,
5.183,,,,
5.2,,,,
5.217,,,,
5.233,,,,
5.25,,,,
5.267,,,,
5.283,,,,
5.3,,,,
5.317,,,,
5.333,-3.671,-0.08834,0.0631,
5.35,,,,
5.367,,,,
5.383,,,,
5.4,,,,
5.417,,,,
5.433,,,,
5.45,,,,
5.467,,,,
5.483,,,,
5.5,,,,
5.517,,,,
5.533,,,,
5.55,,,,
5.567,,,,
5.583,,,,
5.6,,,,
5.617,,,,
5.633,,,,
5.65,,,,
5.667,,,,
5.683,,,,
5.7,,,,
5.717,,,,
5.733,,,,
5.75,,,,
5.767,,,,
5.783,,,,
5.8,,,,
5.817,,,,
5.833,,,,
5.85,,,,
5.867,,,,
5.883,,,,
5.9,,,,
5.917,,,,
5.933,,,,
5.95,,,,
5.967,,,,
