t(s),h promedio,v promedio,acc promedio
0,-1.32183,,
0.733252,-1.3595532,-0.070458,
1.466504,-1.4227052,-0.0874,-0.01597208
2.199756,-1.4907292,-0.0872826,-0.027222
2.933008,-1.574576,-0.11902,-0.033824
3.666261,-1.674384,-0.13876,-0.0381902
4.399513,-1.800616,-0.160722,0.012815
5.132765,-1.875062,-0.141308,0.03232
5.866017,-1.963206,-0.098838,0.03507
6.599269,-2.05468,-0.100468,-0.004858
7.332521,-2.136734,-0.098522,-0.01302
8.065773,-2.233654,-0.117472,-0.0365774
8.799025,-2.32981,-0.151706,-0.0051304
9.532277,-2.394984,-0.1374,0.0138042
10.26553,-2.46974,-0.121228,0.0260438
10.99878,-2.55802,-0.113074,0.00776
11.73203,-2.661136,-0.095578,-0.0129236
12.46529,-2.753456,-0.13537,-0.0381586
13.19854,-2.837918,-0.163548,-0.004858
13.93179,-2.939566,-0.141208,-0.0008224
14.66504,-3.02131,-0.150578,0.00153434
15.39829,-3.117364,-0.150322,0.0111848
16.13155,-3.211608,-0.125868,0.0334536
16.8648,-3.30379,-0.11459,0.0068542
17.59805,-3.393116,-0.109064,-0.00668166
18.3313,-3.471578,-0.1252,0.003527
19.06455,-3.561532,-0.10494,0.0213454
19.79781,-3.673932,-8.29E-02,0.0048564
20.53106,-3.788792,-0.100416,-0.0195772
21.26431,-3.877308,-0.114664,-0.0248826
21.99756,-3.991212,-0.1282,0.0105244
22.73082,-4.060818,-0.106722,0.0020586
23.46407,-4.137402,-0.1078,-0.002072
24.19732,-4.221734,-0.1303,-0.016256
24.93057,-4.32792,-0.124034,0.0187128
25.66382,-4.407166,-0.11223,-0.0122438
26.39708,-4.473998,-0.127162,-0.010486
27.13033,-4.550708,-0.140468,0.00239
27.86358,-4.629884,-0.115028,0.019952
28.59683,-4.705512,-0.116082,-0.006426
29.33008,-4.791514,-0.12822,-0.017811
30.06334,-4.85992,-0.142724,-0.002626
30.79659,-4.894088,-0.135566,0.0221654
31.52984,-4.957838,-0.104464,0.02861284
32.26309,-5.006652,-0.08987,0.020206
32.99634,-5.06944,-0.084176,0.0074428
33.7296,-5.129226,-0.079882,0.001473942
34.46285,-5.179194,-0.084144,-0.006780862
35.1961,-5.233422,-0.087594,-0.00710596
35.92935,-5.295798,-0.093884,0.0030834
36.66261,-5.354682,-0.085436,0.04414034
37.39586,-5.398902,-0.028122,0.0180806
38.12911,-5.469636,-0.03988274,-0.019138
38.86236,-5.548158,-0.084608,-0.03888884
39.59561,-5.622668,-0.090486,0.005512
40.32887,-5.703244,-0.083656,-0.0053182
41.06212,-5.783146,-0.082182,-0.014404
41.79537,-5.868134,-0.110304,-0.00543288
42.52862,-5.934624,-0.091274,0.0078336
43.26187,-6.02297,-0.0852076,0.001416
43.99513,-6.094604,-0.097548,0.0071478
44.72838,-6.16969,-0.073352,0.0106066
45.46163,-6.29316,-0.075708,0.0017592
46.19488,-6.385544,-0.08098,-0.0151804
46.92813,-6.487632,-0.086622,-0.0209868
47.66139,-6.548606,-0.115922,-0.025366
48.39464,-6.614238,-0.122262,-0.011138
49.12789,-6.681052,-0.128752,0.0058406
49.86114,-6.739738,-0.11911,0.0144932
50.59439,-6.767026,-0.101844,0.019646
51.32765,-6.813142,-0.09634,0.002772
52.0609,-6.85568,-0.096386,0.0132636
52.79415,-6.893598,-0.083774,0.0163402
53.5274,-6.932982,-0.067552,0.0026262
54.26066,-6.971136,-0.082866,0.009017
54.99391,-7.003384,-0.063612,0.01472
55.72716,-7.04445,-0.049392,-0.0053578
56.46041,-7.08919,-0.082488,-0.0179984
57.19366,-7.138286,-0.07975,0.0171502
57.92692,-7.188828,-0.05003,0.021433
58.66017,-7.234662,-0.045056,-0.00251394
59.39342,-7.35132,-0.058098,-0.0103564
60.12667,-7.43582,-0.062684,0.000350882
60.85992,-7.497386,-0.056926,0.0086106
61.59318,-7.562698,-0.048526,-0.0024234
62.32643,-7.610938,-0.05663,-0.01141504
63.05968,-7.667994,-0.069724,-0.0079418
63.79293,-7.735992,-0.06677,-0.0425918
64.52618,-7.788294,-0.117518,-0.0515226
65.25944,-7.854288,-0.154356,-0.0046114
65.99269,-7.927112,-0.115272,0.0423838
66.72594,-8.023638,-0.09409,0.017788
67.45919,-8.122346,-0.096972,0.0112916
68.19245,-8.182946,-0.083902,0.0100178
68.9257,-8.258992,-0.076116,-0.002915
69.65895,-8.323012,-0.087076,-0.004622
70.3922,-8.387276,-0.08208,-0.005741
71.12545,-8.441924,-0.089382,-0.016368
71.85871,-8.5003,-0.108216,-0.01342131
72.59196,-8.546798,-0.107006,-0.006391
73.32521,-8.60875,-0.114492,0.0092076
74.05846,-8.650034,-0.102296,-0.0009928
74.79171,-8.690904,-0.103912,0.0025958
75.52497,-8.735348,-0.11342,0.009384
76.25822,-8.780176,-0.08536,0.0143646
76.99147,-8.839526,-0.090838,0.0010012
77.72472,-8.897606,-0.093546,0.00178
78.45797,-8.969736,-0.080572,0.015026
79.19123,-9.048586,-0.07529,-0.001248
79.92448,-9.125016,-0.077358,0.01171344
80.65773,-9.194684,-0.066756,0.020096
81.39098,-9.256534,-0.042578,0.00917
82.12424,-9.31453,-0.0522508,-0.0062872
82.85749,-9.38752,-0.056134,-0.0018638
83.59074,-9.445302,-0.049912,0.0024938
84.32399,-9.487904,-0.054482,-0.0179
85.05724,-9.534108,-0.07207,-0.0228602
85.7905,-9.577464,-0.090494,-0.010777
86.52375,-9.616874,-0.086758,0.0061216
87.257,-9.661112,-0.080532,0.0024524
