Time,Capacitance
0,0
0.0069999999999999,0.02
0.0130000000000001,0.04
0.0189999999999999,0.04
0.026,0.04
0.0319999999999998,0.04
0.0389999999999999,0.0600000000000001
0.0450000000000002,0.04
0.0509999999999999,0.0600000000000001
0.0580000000000001,0.0800000000000001
0.0639999999999998,0.0800000000000001
0.071,0.0800000000000001
0.0769999999999997,0.0800000000000001
0.083,0.0999999999999999
0.0900000000000001,0.0999999999999999
0.0959999999999999,0.0999999999999999
0.103,0.0999999999999999
0.109,0.12
0.115,0.12
0.122,0.12
0.128,0.14
0.135,0.16
0.141,0.16
0.147,0.16
0.154,0.14
0.16,0.16
0.167,0.16
0.173,0.18
0.179,0.18
0.186,0.16
0.192,0.18
0.199,0.18
0.205,0.18
0.211,0.2
0.218,0.2
0.224,0.2
0.231,0.2
0.237,0.22
0.243,0.22
0.25,0.22
0.256,0.24
0.263,0.22
0.269,0.24
0.276,0.22
0.282,0.24
0.288,0.26
0.295,0.26
0.301,0.26
0.308,0.26
0.314,0.24
0.32,0.28
0.327,0.26
0.333,0.26
0.34,0.28
0.346,0.28
0.352,0.28
0.359,0.3
0.365,0.28
0.372,0.3
0.378,0.3
0.384,0.32
0.391,0.3
0.397,0.32
0.404,0.32
0.41,0.32
0.416,0.32
0.423,0.32
0.429,0.34
0.436,0.34
0.442,0.34
0.448,0.34
0.455,0.34
0.461,0.34
0.468,0.36
0.474,0.34
0.48,0.36
0.487,0.38
0.493,0.36
0.5,0.36
0.506,0.38
0.512,0.38
0.519,0.38
0.525,0.38
0.532,0.4
0.538,0.4
0.544,0.4
0.551,0.4
0.557,0.4
0.564,0.4
0.57,0.4
0.576,0.4
0.583,0.4
0.589,0.42
0.596,0.42
0.602,0.44
0.608,0.42
0.615,0.42
0.621,0.44
0.628,0.44
0.634,0.44
0.641,0.44
0.647,0.44
0.653,0.44
0.66,0.46
0.666,0.44
0.673,0.46
0.679,0.46
0.685,0.46
0.692,0.46
0.698,0.48
0.705,0.48
0.711,0.46
0.717,0.48
0.724,0.48
0.73,0.48
0.737,0.48
0.743,0.48
0.749,0.48
0.756,0.5
0.762,0.5
0.769,0.5
0.775,0.5
0.781,0.5
0.788,0.5
0.794,0.5
0.801,0.5
0.807,0.52
0.813,0.52
0.82,0.52
0.826,0.52
0.833,0.54
0.839,0.52
0.845,0.52
0.852,0.52
0.858,0.54
0.865,0.54
0.871,0.54
0.877,0.56
0.884,0.54
0.89,0.54
0.897,0.54
0.903,0.54
0.909,0.56
0.916,0.54
0.922,0.54
0.929,0.56
0.935,0.56
0.941,0.56
0.948,0.56
0.954,0.58
0.961,0.58
0.967,0.58
0.973,0.56
0.98,0.58
0.986,0.58
0.993,0.58
0.999,0.58
1.005,0.58
1.012,0.58
1.018,0.58
1.025,0.58
1.031,0.6
1.038,0.6
1.044,0.6
1.05,0.6
1.057,0.6
1.063,0.6
1.07,0.6
1.076,0.6
1.082,0.62
1.089,0.62
1.095,0.62
1.102,0.6
1.108,0.62
1.114,0.62
1.121,0.62
1.127,0.64
1.134,0.62
1.14,0.62
1.146,0.62
1.153,0.62
1.159,0.64
1.166,0.64
1.172,0.62
1.178,0.64
1.185,0.64
1.191,0.62
1.198,0.64
1.204,0.64
1.21,0.64
1.217,0.66
1.223,0.64
1.23,0.66
1.236,0.66
1.242,0.64
1.249,0.64
1.255,0.66
1.262,0.66
1.268,0.64
1.274,0.66
1.281,0.66
1.287,0.66
1.294,0.66
1.3,0.68
1.306,0.66
1.313,0.66
1.319,0.66
1.326,0.68
1.332,0.66
1.338,0.68
1.345,0.68
1.351,0.68
1.358,0.66
1.364,0.68
1.37,0.68
1.377,0.68
1.383,0.68
1.39,0.68
1.396,0.68
1.403,0.68
1.409,0.68
1.415,0.7
1.422,0.68
1.428,0.7
1.435,0.68
1.441,0.68
1.447,0.7
1.454,0.7
1.46,0.72
1.467,0.7
1.473,0.7
1.479,0.7
1.486,0.7
1.492,0.7
1.499,0.72
1.505,0.72
1.511,0.72
1.518,0.7
1.524,0.72
1.531,0.7
1.537,0.7
