Time,Capacitance
0,0.9
0.00700000000000012,0.9
0.0129999999999999,0.9
0.02,0.9
0.0259999999999998,0.9
0.032,0.9
0.0390000000000001,0.9
0.0449999999999999,0.9
0.052,0.9
0.0579999999999998,0.9
0.0640000000000001,0.9
0.0710000000000002,0.9
0.077,0.9
0.0840000000000001,0.9
0.0899999999999999,0.9
0.0960000000000001,0.9
0.103,0.88
0.109,0.9
0.116,0.88
0.122,0.9
0.128,0.88
0.135,0.86
0.141,0.86
0.148,0.86
0.154,0.84
0.16,0.86
0.167,0.86
0.173,0.84
0.18,0.86
0.186,0.84
0.192,0.84
0.199,0.84
0.205,0.84
0.212,0.82
0.218,0.8
0.224,0.82
0.231,0.82
0.237,0.82
0.244,0.82
0.25,0.8
0.256,0.8
0.263,0.78
0.269,0.8
0.276,0.78
0.282,0.78
0.288,0.78
0.295,0.78
0.301,0.78
0.308,0.78
0.314,0.78
0.32,0.76
0.327,0.78
0.333,0.76
0.34,0.76
0.346,0.76
0.352,0.76
0.359,0.76
0.365,0.76
0.372,0.74
0.378,0.74
0.384,0.74
0.391,0.74
0.397,0.74
0.404,0.72
0.41,0.72
0.417,0.72
0.423,0.72
0.429,0.72
0.436,0.7
0.442,0.72
0.449,0.7
0.455,0.72
0.461,0.7
0.468,0.68
0.474,0.7
0.481,0.68
0.487,0.7
0.493,0.68
0.5,0.68
0.506,0.66
0.513,0.68
0.519,0.68
0.525,0.66
0.532,0.68
0.538,0.68
0.545,0.66
0.551,0.68
0.557,0.66
0.564,0.66
0.57,0.66
0.577,0.64
0.583,0.66
0.589,0.62
0.596,0.64
0.602,0.64
0.609,0.64
0.615,0.64
0.621,0.64
0.628,0.62
0.634,0.62
0.641,0.62
0.647,0.64
0.653,0.62
0.66,0.6
0.666,0.62
0.673,0.62
0.679,0.62
0.685,0.62
0.692,0.62
0.698,0.6
0.705,0.6
0.711,0.6
0.717,0.6
0.724,0.6
0.73,0.6
0.737,0.58
0.743,0.6
0.749,0.58
0.756,0.58
0.762,0.58
0.769,0.58
0.775,0.58
0.782,0.58
0.788,0.56
0.794,0.58
0.801,0.58
0.807,0.56
0.814,0.56
0.82,0.56
0.826,0.56
0.833,0.56
0.839,0.56
0.846,0.56
0.852,0.54
0.858,0.54
0.865,0.54
0.871,0.54
