Time,Capacitance
0,0.00
0.513,0.02
0.519,0.04
0.525,0.04
0.532,0.04
0.538,0.04
0.545,0.06
0.551,0.04
0.557,0.06
0.564,0.08
0.57,0.08
0.577,0.08
0.583,0.08
0.589,0.10
0.596,0.10
0.602,0.10
0.609,0.10
0.615,0.12
0.621,0.12
0.628,0.12
0.634,0.14
0.641,0.16
0.647,0.16
0.653,0.16
0.66,0.14
0.666,0.16
0.673,0.16
0.679,0.18
0.685,0.18
0.692,0.16
0.698,0.18
0.705,0.18
0.711,0.18
0.717,0.20
0.724,0.20
0.73,0.20
0.737,0.20
0.743,0.22
0.749,0.22
0.756,0.22
0.762,0.24
0.769,0.22
0.775,0.24
0.782,0.22
0.788,0.24
0.794,0.26
0.801,0.26
0.807,0.26
0.814,0.26
0.82,0.24
0.826,0.28
0.833,0.26
0.839,0.26
0.846,0.28
0.852,0.28
0.858,0.28
0.865,0.30
0.871,0.28
0.878,0.30
0.884,0.30
0.89,0.32
0.897,0.30
0.903,0.32
0.91,0.32
0.916,0.32
0.922,0.32
0.929,0.32
0.935,0.34
0.942,0.34
0.948,0.34
0.954,0.34
0.961,0.34
0.967,0.34
0.974,0.36
0.98,0.34
0.986,0.36
0.993,0.38
0.999,0.36
1.006,0.36
1.012,0.38
1.018,0.38
1.025,0.38
1.031,0.38
1.038,0.40
1.044,0.40
1.05,0.40
1.057,0.40
1.063,0.40
1.07,0.40
1.076,0.40
1.082,0.40
1.089,0.40
1.095,0.42
1.102,0.42
1.108,0.44
1.114,0.42
1.121,0.42
1.127,0.44
1.134,0.44
1.14,0.44
1.147,0.44
1.153,0.44
1.159,0.44
1.166,0.46
1.172,0.44
1.179,0.46
1.185,0.46
1.191,0.46
1.198,0.46
1.204,0.48
1.211,0.48
1.217,0.46
1.223,0.48
1.23,0.48
1.236,0.48
1.243,0.48
1.249,0.48
1.255,0.48
1.262,0.50
1.268,0.50
1.275,0.50
1.281,0.50
1.287,0.50
1.294,0.50
1.3,0.50
1.307,0.50
1.313,0.52
1.319,0.52
1.326,0.52
1.332,0.52
1.339,0.54
1.345,0.52
1.351,0.52
1.358,0.52
1.364,0.54
1.371,0.54
1.377,0.54
1.383,0.56
1.39,0.54
1.396,0.54
1.403,0.54
1.409,0.54
1.415,0.56
1.422,0.54
1.428,0.54
1.435,0.56
1.441,0.56
1.447,0.56
1.454,0.56
1.46,0.58
1.467,0.58
1.473,0.58
1.479,0.56
1.486,0.58
1.492,0.58
1.499,0.58
1.505,0.58
1.511,0.58
1.518,0.58
1.524,0.58
1.531,0.58
1.537,0.60
1.544,0.60
1.55,0.60
1.556,0.60
1.563,0.60
1.569,0.60
1.576,0.60
1.582,0.60
1.588,0.62
1.595,0.62
1.601,0.62
1.608,0.60
1.614,0.62
1.62,0.62
1.627,0.62
1.633,0.64
1.64,0.62
1.646,0.62
1.652,0.62
1.659,0.62
1.665,0.64
1.672,0.64
1.678,0.62
1.684,0.64
1.691,0.64
1.697,0.62
1.704,0.64
1.71,0.64
1.716,0.64
1.723,0.66
1.729,0.64
1.736,0.66
1.742,0.66
1.748,0.64
1.755,0.64
1.761,0.66
1.768,0.66
1.774,0.64
1.78,0.66
1.787,0.66
1.793,0.66
1.8,0.66
1.806,0.68
1.812,0.66
1.819,0.66
1.825,0.66
1.832,0.68
1.838,0.66
1.844,0.68
1.851,0.68
1.857,0.68
1.864,0.66
1.87,0.68
1.876,0.68
1.883,0.68
1.889,0.68
1.896,0.68
1.902,0.68
1.909,0.68
1.915,0.68
1.921,0.70
1.928,0.68
1.934,0.70
1.941,0.68
1.947,0.68
1.953,0.70
1.96,0.70
1.966,0.72
1.973,0.70
1.979,0.70
1.985,0.70
1.992,0.70
1.998,0.70
2.005,0.72
2.011,0.72
2.017,0.72
2.024,0.70
2.03,0.72
2.037,0.70
2.043,0.70
2.049,0.72
2.056,0.72
2.062,0.72
2.069,0.70
2.075,0.72
2.081,0.72
2.088,0.72
2.094,0.72
2.101,0.72
2.107,0.74
2.113,0.72
2.12,0.72
2.126,0.72
2.133,0.72
2.139,0.74
2.145,0.72
2.152,0.74
2.158,0.74
2.165,0.72
2.171,0.74
2.177,0.74
2.184,0.74
2.19,0.74
2.197,0.74
2.2031,0.74
2.2095,0.74
2.2159,0.74
2.2223,0.74
2.2287,0.76
2.2351,0.74
2.2415,0.76
2.2479,0.74
2.2543,0.74
2.2607,0.76
2.2671,0.74
2.2735,0.76
2.2799,0.76
2.2863,0.76
2.2927,0.76
2.2991,0.76
2.3055,0.76
2.3119,0.76
2.3183,0.76
2.3247,0.76
2.3311,0.76
2.3375,0.76
2.3439,0.76
2.3503,0.78
2.3567,0.78
2.3632,0.76
2.3696,0.78
2.376,0.78
2.3824,0.76
2.3888,0.76
2.3952,0.78
2.4016,0.76
2.408,0.76
2.4144,0.78
2.4208,0.78
2.4272,0.76
2.4336,0.78
2.44,0.78
2.4464,0.78
2.4528,0.78
2.4592,0.78
2.4656,0.78
2.472,0.78
2.4784,0.78
2.4848,0.78
2.4912,0.80
2.4976,0.78
2.504,0.78
2.5104,0.78
2.5168,0.78
2.5232,0.78
2.5296,0.78
2.536,0.78
2.5424,0.78
2.5489,0.80
2.5553,0.78
2.5617,0.78
2.5681,0.78
2.5745,0.80
2.5809,0.78
2.5873,0.78
2.5937,0.78
2.6001,0.80
2.6065,0.80
2.6129,0.80
2.6193,0.80
2.6257,0.82
2.6321,0.80
2.6385,0.80
2.6449,0.80
2.6513,0.80
2.6577,0.80
2.6641,0.80
2.6705,0.80
2.6769,0.80
2.6833,0.80
2.6897,0.80
2.6961,0.78
2.7025,0.80
2.7089,0.80
2.7153,0.82
2.7217,0.80
2.7281,0.80
2.7346,0.80
2.741,0.82
2.7474,0.80
2.7538,0.82
2.7602,0.82
2.7666,0.82
2.773,0.80
2.7794,0.82
2.7858,0.80
2.7922,0.80
2.7986,0.82
2.805,0.82
2.8114,0.82
2.8178,0.82
2.8242,0.80
2.8306,0.82
2.837,0.82
2.8434,0.82
2.8498,0.82
2.8562,0.82
2.8626,0.82
2.869,0.82
2.8754,0.82
2.8818,0.82
2.8882,0.82
2.8946,0.84
2.901,0.82
2.9074,0.82
2.9138,0.82
2.9202,0.82
2.9267,0.82
2.9331,0.82
2.9395,0.84
2.9459,0.82
2.9523,0.82
2.9587,0.82
2.9651,0.82
2.9715,0.84
2.9779,0.82
2.9843,0.84
2.9907,0.82
2.9971,0.82
3.0035,0.84
3.0099,0.84
3.0163,0.82
3.0227,0.82
3.0291,0.82
3.0355,0.84
3.0419,0.84
3.0483,0.84
3.0547,0.84
3.0611,0.84
3.0675,0.84
3.0739,0.84
3.0803,0.84
3.0867,0.84
3.0931,0.84
3.0995,0.84
3.10595,0.84
3.11235,0.84
3.11876,0.84
3.12516,0.82
3.13156,0.84
3.13797,0.84
3.14437,0.84
3.15077,0.84
3.15718,0.84
3.16358,0.84
3.16998,0.84
3.17639,0.84
3.18279,0.84
3.18919,0.86
3.195597,0.84
3.20200000000003,0.84
3.208403,0.84
3.21481,0.86
3.22121,0.84
3.22761,0.86
3.23402,0.84
3.24042,0.84
3.24682,0.84
3.25323,0.84
3.25963,0.86
3.26603,0.86
3.27244,0.86
3.27884,0.86
3.28524,0.84
3.29165,0.86
3.29805,0.86
3.3045,0.86
3.3109,0.86
3.3173,0.86
3.3237,0.86
3.3301,0.86
3.3365,0.84
3.3429,0.86
3.3493,0.86
3.3557,0.86
3.3621,0.86
3.3685,0.86
3.3749,0.86
3.3813,0.86
3.3877,0.86
3.3941,0.86
3.4005,0.86
3.4069,0.86
3.4133,0.86
3.4197,0.86
3.4261,0.86
3.4325,0.86
3.4389,0.86
3.4453,0.86
3.4517,0.86
3.4581,0.86
3.4645,0.86
3.4709,0.86
3.4773,0.86
3.4838,0.86
3.4902,0.86
3.4966,0.88
3.503,0.86
3.5094,0.86
3.5158,0.88
3.5222,0.86
3.5286,0.88
3.535,0.86
3.5414,0.86
3.5478,0.88
3.5542,0.86
3.5606,0.86
3.567,0.88
3.5734,0.86
3.5798,0.88
3.5862,0.88
3.5926,0.88
3.599,0.88
3.6054,0.88
3.6118,0.86
3.6182,0.88
3.6246,0.88
3.631,0.88
3.6374,0.86
3.6438,0.88
3.6502,0.86
3.6566,0.88
3.663,0.88
3.6694,0.88
3.6759,0.88
3.6823,0.88
3.6887,0.86
3.6951,0.86
3.7015,0.88
3.7079,0.88
3.7143,0.88
3.7207,0.88
3.7271,0.88
3.7335,0.88
3.7399,0.88
3.7463,0.88
3.7527,0.88
3.7591,0.86
3.7655,0.88
3.7719,0.88
3.7783,0.88
3.7847,0.88
3.7911,0.90
3.7975,0.88
3.8039,0.88
3.8103,0.88
3.8167,0.88
3.8231,0.88
3.8295,0.88
3.8359,0.88
3.8423,0.88
3.8487,0.90
3.8551,0.88
3.8616,0.86
3.868,0.88
3.8744,0.88
3.8808,0.88
3.8872,0.88
3.8936,0.88
3.9,0.88
3.9064,0.88
3.9128,0.88
3.9192,0.88
3.9256,0.88
3.932,0.88
3.9384,0.88
3.9448,0.90
3.9512,0.88
3.9576,0.88
3.964,0.88
3.9704,0.90
3.9768,0.90
3.9832,0.90
3.9896,0.90
3.996,0.90
4.0024,0.90
4.0088,0.90
4.0152,0.90
4.0216,0.90
4.028,0.90
4.0344,0.88
4.0408,0.90
4.0473,0.90
4.0537,0.90
4.0601,0.88
4.0665,0.90
4.0729,0.90
4.0793,0.90
4.0857,0.90
4.0921,0.90
4.0985,0.90
4.1049,0.90
4.1113,0.90
4.1177,0.90
4.1241,0.88
4.1305,0.90
4.1369,0.90
4.1433,0.90
4.1497,0.88
4.1561,0.90
4.1625,0.88
4.1689,0.90
4.1753,0.90
4.1817,0.90
4.1881,0.88
4.1945,0.88
4.2009,0.90
4.207,0.88
4.214,0.90
4.22,0.90
4.227,0.90
4.233,0.90
4.239,0.90
4.246,0.90
4.252,0.88
4.259,0.90
4.265,0.90
4.271,0.88
4.278,0.90
4.284,0.90
4.291,0.90
4.297,0.90
4.303,0.90
4.31,0.90
4.316,0.90
