Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.4
Sample Interval,0.00640342
Filter Frequency,2e+08
Record Length,1000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Label,
TIME,CH1
-3.202e+00,1.52
-3.195e+00,1.54
-3.189e+00,1.52
-3.182e+00,1.54
-3.176e+00,1.52
-3.170e+00,1.52
-3.163e+00,1.54
-3.157e+00,1.54
-3.150e+00,1.52
-3.144e+00,1.54
-3.138e+00,1.52
-3.131e+00,1.54
-3.125e+00,1.54
-3.118e+00,1.54
-3.112e+00,1.54
-3.106e+00,1.54
-3.099e+00,1.54
-3.093e+00,1.52
-3.086e+00,1.54
-3.080e+00,1.52
-3.074e+00,1.52
-3.067e+00,1.52
-3.061e+00,1.54
-3.054e+00,1.54
-3.048e+00,1.54
-3.042e+00,1.54
-3.035e+00,1.54
-3.029e+00,1.54
-3.022e+00,1.54
-3.016e+00,1.52
-3.010e+00,1.54
-3.003e+00,1.54
-2.997e+00,1.54
-2.990e+00,1.54
-2.984e+00,1.52
-2.978e+00,1.54
-2.971e+00,1.54
-2.965e+00,1.52
-2.958e+00,1.52
-2.952e+00,1.54
-2.946e+00,1.54
-2.939e+00,1.54
-2.933e+00,1.54
-2.926e+00,1.54
-2.920e+00,1.54
-2.914e+00,1.54
-2.907e+00,1.52
-2.901e+00,1.54
-2.894e+00,1.54
-2.888e+00,1.54
-2.882e+00,1.54
-2.875e+00,1.54
-2.869e+00,1.52
-2.862e+00,1.52
-2.856e+00,1.52
-2.850e+00,1.52
-2.843e+00,1.54
-2.837e+00,1.54
-2.830e+00,1.54
-2.824e+00,1.54
-2.818e+00,1.54
-2.811e+00,1.54
-2.805e+00,1.54
-2.798e+00,1.54
-2.792e+00,1.54
-2.785e+00,1.52
-2.779e+00,1.54
-2.773e+00,1.52
-2.766e+00,1.54
-2.760e+00,1.54
-2.753e+00,1.54
-2.747e+00,1.54
-2.741e+00,1.54
-2.734e+00,1.52
-2.728e+00,1.54
-2.721e+00,1.54
-2.715e+00,1.56
-2.709e+00,1.54
-2.702e+00,1.54
-2.696e+00,1.54
-2.689e+00,1.56
-2.683e+00,1.58
-2.677e+00,1.58
-2.670e+00,1.58
-2.664e+00,1.58
-2.657e+00,1.6
-2.651e+00,1.58
-2.645e+00,1.6
-2.638e+00,1.62
-2.632e+00,1.62
-2.625e+00,1.62
-2.619e+00,1.62
-2.613e+00,1.64
-2.606e+00,1.64
-2.600e+00,1.64
-2.593e+00,1.64
-2.587e+00,1.66
-2.581e+00,1.66
-2.574e+00,1.66
-2.568e+00,1.68
-2.561e+00,1.7
-2.555e+00,1.7
-2.549e+00,1.7
-2.542e+00,1.68
-2.536e+00,1.7
-2.529e+00,1.7
-2.523e+00,1.72
-2.517e+00,1.72
-2.510e+00,1.7
-2.504e+00,1.72
-2.497e+00,1.72
-2.491e+00,1.72
-2.485e+00,1.74
-2.478e+00,1.74
-2.472e+00,1.74
-2.465e+00,1.74
-2.459e+00,1.76
-2.453e+00,1.76
-2.446e+00,1.76
-2.440e+00,1.78
-2.433e+00,1.76
-2.427e+00,1.78
-2.420e+00,1.76
-2.414e+00,1.78
-2.408e+00,1.8
-2.401e+00,1.8
-2.395e+00,1.8
-2.388e+00,1.8
-2.382e+00,1.78
-2.376e+00,1.82
-2.369e+00,1.8
-2.363e+00,1.8
-2.356e+00,1.82
-2.350e+00,1.82
-2.344e+00,1.82
-2.337e+00,1.84
-2.331e+00,1.82
-2.324e+00,1.84
-2.318e+00,1.84
-2.312e+00,1.86
-2.305e+00,1.84
-2.299e+00,1.86
-2.292e+00,1.86
-2.286e+00,1.86
-2.280e+00,1.86
-2.273e+00,1.86
-2.267e+00,1.88
-2.260e+00,1.88
-2.254e+00,1.88
-2.248e+00,1.88
-2.241e+00,1.88
-2.235e+00,1.88
-2.228e+00,1.9
-2.222e+00,1.88
-2.216e+00,1.9
-2.209e+00,1.92
-2.203e+00,1.9
-2.196e+00,1.9
-2.190e+00,1.92
-2.184e+00,1.92
-2.177e+00,1.92
-2.171e+00,1.92
-2.164e+00,1.94
-2.158e+00,1.94
-2.152e+00,1.94
-2.145e+00,1.94
-2.139e+00,1.94
-2.132e+00,1.94
-2.126e+00,1.94
-2.120e+00,1.94
-2.113e+00,1.94
-2.107e+00,1.96
-2.100e+00,1.96
-2.094e+00,1.98
-2.088e+00,1.96
-2.081e+00,1.96
-2.075e+00,1.98
-2.068e+00,1.98
-2.062e+00,1.98
-2.055e+00,1.98
-2.049e+00,1.98
-2.043e+00,1.98
-2.036e+00,2
-2.030e+00,1.98
-2.023e+00,2
-2.017e+00,2
-2.011e+00,2
-2.004e+00,2
-1.998e+00,2.02
-1.991e+00,2.02
-1.985e+00,2
-1.979e+00,2.02
-1.972e+00,2.02
-1.966e+00,2.02
-1.959e+00,2.02
-1.953e+00,2.02
-1.947e+00,2.02
-1.940e+00,2.04
-1.934e+00,2.04
-1.927e+00,2.04
-1.921e+00,2.04
-1.915e+00,2.04
-1.908e+00,2.04
-1.902e+00,2.04
-1.895e+00,2.04
-1.889e+00,2.06
-1.883e+00,2.06
-1.876e+00,2.06
-1.870e+00,2.06
-1.863e+00,2.08
-1.857e+00,2.06
-1.851e+00,2.06
-1.844e+00,2.06
-1.838e+00,2.08
-1.831e+00,2.08
-1.825e+00,2.08
-1.819e+00,2.1
-1.812e+00,2.08
-1.806e+00,2.08
-1.799e+00,2.08
-1.793e+00,2.08
-1.787e+00,2.1
-1.780e+00,2.08
-1.774e+00,2.08
-1.767e+00,2.1
-1.761e+00,2.1
-1.755e+00,2.1
-1.748e+00,2.1
-1.742e+00,2.12
-1.735e+00,2.12
-1.729e+00,2.12
-1.723e+00,2.1
-1.716e+00,2.12
-1.710e+00,2.12
-1.703e+00,2.12
-1.697e+00,2.12
-1.691e+00,2.12
-1.684e+00,2.12
-1.678e+00,2.12
-1.671e+00,2.12
-1.665e+00,2.14
-1.658e+00,2.14
-1.652e+00,2.14
-1.646e+00,2.14
-1.639e+00,2.14
-1.633e+00,2.14
-1.626e+00,2.14
-1.620e+00,2.14
-1.614e+00,2.16
-1.607e+00,2.16
-1.601e+00,2.16
-1.594e+00,2.14
-1.588e+00,2.16
-1.582e+00,2.16
-1.575e+00,2.16
-1.569e+00,2.18
-1.562e+00,2.16
-1.556e+00,2.16
-1.550e+00,2.16
-1.543e+00,2.16
-1.537e+00,2.18
-1.530e+00,2.18
-1.524e+00,2.16
-1.518e+00,2.18
-1.511e+00,2.18
-1.505e+00,2.16
-1.498e+00,2.18
-1.492e+00,2.18
-1.486e+00,2.18
-1.479e+00,2.2
-1.473e+00,2.18
-1.466e+00,2.2
-1.460e+00,2.2
-1.454e+00,2.18
-1.447e+00,2.18
-1.441e+00,2.2
-1.434e+00,2.2
-1.428e+00,2.18
-1.422e+00,2.2
-1.415e+00,2.2
-1.409e+00,2.2
-1.402e+00,2.2
-1.396e+00,2.22
-1.390e+00,2.2
-1.383e+00,2.2
-1.377e+00,2.2
-1.370e+00,2.22
-1.364e+00,2.2
-1.358e+00,2.22
-1.351e+00,2.22
-1.345e+00,2.22
-1.338e+00,2.2
-1.332e+00,2.22
-1.326e+00,2.22
-1.319e+00,2.22
-1.313e+00,2.22
-1.306e+00,2.22
-1.300e+00,2.22
-1.293e+00,2.22
-1.287e+00,2.22
-1.281e+00,2.24
-1.274e+00,2.22
-1.268e+00,2.24
-1.261e+00,2.22
-1.255e+00,2.22
-1.249e+00,2.24
-1.242e+00,2.24
-1.236e+00,2.26
-1.229e+00,2.24
-1.223e+00,2.24
-1.217e+00,2.24
-1.210e+00,2.24
-1.204e+00,2.24
-1.197e+00,2.26
-1.191e+00,2.26
-1.185e+00,2.26
-1.178e+00,2.24
-1.172e+00,2.26
-1.165e+00,2.24
-1.159e+00,2.24
-1.153e+00,2.26
-1.146e+00,2.26
-1.140e+00,2.26
-1.133e+00,2.24
-1.127e+00,2.26
-1.121e+00,2.26
-1.114e+00,2.26
-1.108e+00,2.26
-1.101e+00,2.26
-1.095e+00,2.28
-1.089e+00,2.26
-1.082e+00,2.26
-1.076e+00,2.26
-1.069e+00,2.26
-1.063e+00,2.28
-1.057e+00,2.26
-1.050e+00,2.28
-1.044e+00,2.28
-1.037e+00,2.26
-1.031e+00,2.28
-1.025e+00,2.28
-1.018e+00,2.28
-1.012e+00,2.28
-1.005e+00,2.28
-9.989e-01,2.28
-9.925e-01,2.28
-9.861e-01,2.28
-9.797e-01,2.28
-9.733e-01,2.3
-9.669e-01,2.28
-9.605e-01,2.3
-9.541e-01,2.28
-9.477e-01,2.28
-9.413e-01,2.3
-9.349e-01,2.28
-9.285e-01,2.3
-9.221e-01,2.3
-9.157e-01,2.3
-9.093e-01,2.3
-9.029e-01,2.3
-8.965e-01,2.3
-8.901e-01,2.3
-8.837e-01,2.3
-8.773e-01,2.3
-8.709e-01,2.3
-8.645e-01,2.3
-8.581e-01,2.3
-8.517e-01,2.32
-8.453e-01,2.32
-8.388e-01,2.3
-8.324e-01,2.32
-8.260e-01,2.32
-8.196e-01,2.3
-8.132e-01,2.3
-8.068e-01,2.32
-8.004e-01,2.3
-7.940e-01,2.3
-7.876e-01,2.32
-7.812e-01,2.32
-7.748e-01,2.3
-7.684e-01,2.32
-7.620e-01,2.32
-7.556e-01,2.32
-7.492e-01,2.32
-7.428e-01,2.32
-7.364e-01,2.32
-7.300e-01,2.32
-7.236e-01,2.32
-7.172e-01,2.32
-7.108e-01,2.34
-7.044e-01,2.32
-6.980e-01,2.32
-6.916e-01,2.32
-6.852e-01,2.32
-6.788e-01,2.32
-6.724e-01,2.32
-6.660e-01,2.32
-6.596e-01,2.32
-6.531e-01,2.34
-6.467e-01,2.32
-6.403e-01,2.32
-6.339e-01,2.32
-6.275e-01,2.34
-6.211e-01,2.32
-6.147e-01,2.32
