tiempo_s,posicion_m,velocidad_m_s,aceleracion_m_s2
0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.35,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.15,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.3,0.0,0.0,0.0
1.35,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.45,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.55,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.65,0.0,0.0,0.0
1.7,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.8,0.0,0.0,0.0
1.85,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.95,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.05,0.0,0.0,0.003
2.1,0.0,0.0,0.021
2.15,0.0,0.001,0.085
2.2,0.0,0.004,0.241
2.25,0.0,0.019,0.5
2.3,0.001,0.054,0.757
2.35,0.005,0.101,0.904
2.4,0.011,0.149,0.949
2.45,0.02,0.198,0.937
2.5,0.031,0.242,0.929
2.55,0.044,0.29,0.931
2.6,0.06,0.337,0.902
2.65,0.078,0.38,0.881
2.7,0.098,0.423,0.902
2.75,0.12,0.47,0.928
2.8,0.145,0.518,0.917
2.85,0.172,0.562,0.902
2.9,0.201,0.608,0.894
2.95,0.233,0.651,0.901
3.0,0.266,0.695,0.953
3.05,0.302,0.748,0.966
3.1,0.341,0.796,0.9
3.15,0.382,0.838,0.834
3.2,0.425,0.875,0.847
3.25,0.469,0.921,0.899
3.3,0.517,0.968,0.906
3.35,0.566,1.012,0.898
3.4,0.618,1.058,0.883
3.45,0.672,1.1,0.87
3.5,0.728,1.143,0.889
3.55,0.786,1.189,0.881
3.6,0.847,1.236,0.711
3.65,0.91,1.274,0.052
3.7,0.974,1.286,-1.677
3.75,1.042,1.191,-4.824
3.8,1.11,0.779,-7.235
3.85,1.124,0.29,-6.236
3.9,1.124,0.069,-3.371
3.95,1.124,0.008,-1.26
4.0,1.124,0.0,-0.315
4.05,1.124,0.0,-0.051
4.1,1.124,0.0,-0.004
4.15,1.124,0.0,0.0
4.2,1.124,0.0,0.0
4.25,1.124,0.0,0.0
4.3,1.124,0.0,0.0
4.35,1.124,0.0,0.0
4.4,1.124,0.0,0.0
4.45,1.124,0.0,0.0
4.5,1.124,0.0,0.0
4.55,1.124,0.0,0.0
4.6,1.124,0.0,0.0
4.65,1.124,0.0,0.0
4.7,1.124,0.0,0.0
4.75,1.124,0.0,0.0
4.8,1.124,0.0,0.0
4.85,1.124,0.0,0.0
4.9,1.124,0.0,0.0
4.95,1.124,0.0,0.0
5.0,1.124,0.0,0.0
